Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
ENSG00000004455;P54819,Cytoplasm,,0.627099991,0.422800004,0.239399999,0.264400005,0.591899991,0.192900002,0.0713,0.129999995,0.191200003,0.333499998
ENSG00000004468;P28907,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.249200001,0.152400002,0.262199998,0.72390002,0.130099997,0.0029,0.239899993,0.578999996,0.476900011,0.099399999
ENSG00000004478;Q02790,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.749100029,0.56190002,0.0104,0.171499997,0.389499992,0.007,0.459500015,0.0876,0.29339999,0.047600001
ENSG00000004779;O14561,Mitochondrion,Mitochondrial transit peptide,0.145500004,0.153500006,0.0099,0.116099998,0.957300007,0.0146,0.045600001,0.033399999,0.056299999,0.022600001
ENSG00000004799;Q16654,Mitochondrion,Mitochondrial transit peptide,0.194499999,0.115599997,0.0275,0.069300003,0.795300007,0.018999999,0.068999998,0.2104,0.112099998,0.138500005
ENSG00000004809;Q86VW1,Cell membrane,Transmembrane domain,0.131200001,0.106799997,0.029300001,0.663699985,0.0625,0.004,0.237800002,0.370099992,0.297199994,0.244200006
ENSG00000004864;Q9UJS0,Mitochondrion,,0.260800004,0.121299997,0.0221,0.327100009,0.706200004,0.085500002,0.284200013,0.211400002,0.234099999,0.208299994
ENSG00000004939;P02730,Cell membrane,Transmembrane domain,0.138600007,0.0889,0.0295,0.799700022,0.093000002,0.0015,0.241699994,0.491899997,0.2764,0.0038
ENSG00000004961;P53701,Golgi apparatus,,0.456699997,0.125699997,0.126599997,0.368000001,0.555599988,0.050500002,0.558399975,0.51730001,0.603500009,0.1219
ENSG00000005022;P05141,Mitochondrion,Transmembrane domain,0.113300003,0.0469,0.075499997,0.319799989,0.91049999,0.146200001,0.230900005,0.170300007,0.180199996,0.240500003
ENSG00000005075;P52435,Cytoplasm,,0.638700008,0.493400007,0.088399999,0.111199997,0.099600002,0.0028,0.275000006,0.127599999,0.113799997,0.001
ENSG00000005187;Q53FZ2,Mitochondrion,Mitochondrial transit peptide,0.147300005,0.126699999,0.082099997,0.135499999,0.938899994,0.0294,0.043400001,0.060400002,0.060199998,0.0482
ENSG00000005339;Q92793,Nucleus,Nuclear localization signal|Nuclear export signal,0.360900015,0.923699975,0.0207,0.041000001,0.101899996,0.0007,0.0121,0.0298,0.0305,0.0012
ENSG00000005381;P05164,Extracellular,Signal peptide,0.231999993,0.106299996,0.838500023,0.282499999,0.1523,0.0162,0.209000006,0.354600012,0.263900012,0.0101
ENSG00000005421;P27169,Endoplasmic reticulum,Signal peptide,0.182500005,0.140300006,0.27610001,0.151199996,0.253699988,0.032400001,0.888899982,0.439300001,0.543200016,0.107500002
ENSG00000005469;Q9UKG9,Cytoplasm|Nucleus,Peroxisomal targeting signal,0.530300021,0.589299977,0.0044,0.262800008,0.180800006,0.0009,0.474599987,0.066600002,0.112999998,0.514999986
ENSG00000005471;P21439,Cell membrane,Signal peptide|Transmembrane domain,0.084600002,0.159199998,0.061700001,0.863300025,0.079099998,0.0043,0.174199998,0.500999987,0.077200003,0.091799997
ENSG00000005483;Q8IZD2,Nucleus,Nuclear localization signal,0.347900003,0.916299999,0.0156,0.066699997,0.040899999,0.0046,0.079999998,0.049400002,0.035500001,0.0002
ENSG00000005810;O75592,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.534600019,0.735199988,0.0262,0.0559,0.085600004,0.0832,0.218500003,0.117899999,0.255499989,0.0063
ENSG00000005882;Q15119,Mitochondrion,Mitochondrial transit peptide,0.219099998,0.128800005,0.020500001,0.111900002,0.799000025,0.0094,0.098999999,0.302599996,0.169799998,0.130899996
ENSG00000006007;Q9NZC3,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.332700014,0.151600003,0.0625,0.209199995,0.398900002,0.0383,0.837199986,0.194700003,0.301099986,0.024900001
ENSG00000006071;Q09428,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.120999999,0.104000002,0.020300001,0.725300014,0.089100003,0.012,0.432000011,0.726599991,0.488900006,0.0173
ENSG00000006530;Q53H12,Mitochondrion,Mitochondrial transit peptide,0.211500004,0.108999997,0.105899997,0.182400003,0.862299979,0.024599999,0.4102,0.1109,0.225899994,0.1087
ENSG00000006534;P43353,Cytoplasm|Cell membrane,,0.48120001,0.221699998,0.0425,0.677299976,0.416500002,0.0153,0.380699992,0.162300006,0.296000004,0.319099993
ENSG00000006625;O75223,Cytoplasm,,0.623300016,0.424400002,0.0071,0.157000005,0.2852,0.0106,0.214499995,0.28580001,0.297800004,0.0792
ENSG00000006695;Q12887,Mitochondrion,Mitochondrial transit peptide,0.099100001,0.125100002,0.0243,0.097499996,0.926699996,0.087899998,0.091899998,0.057700001,0.1505,0.089199997
ENSG00000006756;P51689,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.1285,0.137999997,0.0592,0.373899996,0.066500001,0.0072,0.841199994,0.279100001,0.231099993,0.0127
ENSG00000006757;P41247,Cytoplasm,,0.727800012,0.301400006,0.128999993,0.213599995,0.616999984,0.073399998,0.080200002,0.097199999,0.070600003,0.181299999
ENSG00000007001;O95045,Cytoplasm,,0.73360002,0.335299999,0.0155,0.132100001,0.123000003,0.0113,0.187700003,0.097999997,0.3477,0.0175
ENSG00000007168;P43034,Nucleus,Nuclear localization signal|Nuclear export signal,0.431100011,0.643000007,0.025599999,0.185599998,0.120200001,0.0008,0.090400003,0.101000004,0.095700003,0.031800002
ENSG00000007171;P35228,Cytoplasm,,0.594500005,0.408199996,0.061900001,0.332300007,0.437900007,0.032699998,0.180800006,0.184499994,0.319999993,0.133100003
ENSG00000007216;Q13183,Cell membrane,Transmembrane domain,0.137600005,0.115800001,0.1074,0.880299985,0.093900003,0.0028,0.364300013,0.292499989,0.180800006,0.0041
ENSG00000007350;P51854,Cytoplasm,Nuclear localization signal|Nuclear export signal,0.83950001,0.435000002,0.035599999,0.128299996,0.426699996,0.094400004,0.192200005,0.079099998,0.229599997,0.0063
ENSG00000007541;Q9BRB3,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.253699988,0.174199998,0.075900003,0.424100012,0.450399995,0.001,0.683300018,0.560699999,0.187299997,0.217399999
ENSG00000007933;P31513,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.278100014,0.138500005,0.081900001,0.238999993,0.319599986,0.0175,0.898599982,0.378600001,0.560400009,0.238900006
ENSG00000007944;Q8WY64,Cytoplasm,Nuclear export signal,0.689499974,0.364800006,0.056600001,0.277099997,0.044500001,0.0038,0.079300001,0.372099996,0.443300009,0.0025
ENSG00000008130;O95544,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.713199973,0.55339998,0.0131,0.288500011,0.123499997,0.0029,0.136500001,0.189300001,0.194800004,0.0136
ENSG00000008300;Q9NYQ7,Cell membrane,Signal peptide|Transmembrane domain,0.417400002,0.328599989,0.312900007,0.48269999,0.139699996,0.0046,0.147599995,0.193000004,0.243000001,0.022399999
ENSG00000008311;Q9UDR5,Mitochondrion,Mitochondrial transit peptide,0.163299993,0.095100001,0.0198,0.098999999,0.939599991,0.0392,0.039799999,0.0528,0.055399999,0.061900001
ENSG00000008394;P10620,Endoplasmic reticulum,Transmembrane domain,0.155000001,0.1131,0.0153,0.164000005,0.582499981,0.0066,0.677200019,0.212099999,0.251800001,0.034200002
ENSG00000008438;O75594,Extracellular,Signal peptide,0.164800003,0.061799999,0.921999991,0.261700004,0.123899996,0.0146,0.210700005,0.397599995,0.334399998,0.050500002
ENSG00000008513;Q11201,Golgi apparatus,Signal peptide|Transmembrane domain,0.221499994,0.192300007,0.371100008,0.090499997,0.224299997,0.003,0.601000011,0.212400004,0.874300003,0.0067
ENSG00000009335;Q15386,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.670700014,0.529100001,0.030099999,0.086800002,0.132799998,0.0032,0.116599999,0.202600002,0.266099989,0.0019
ENSG00000009413;O60673,Cytoplasm|Nucleus,Nuclear export signal,0.546299994,0.639500022,0.050099999,0.095100001,0.424800009,0.0098,0.107699998,0.114699997,0.080600001,0.022
ENSG00000009830;Q9UKY4,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.095799997,0.148800001,0.02,0.35800001,0.054900002,0.0031,0.856899977,0.137899995,0.252999991,0.039900001
ENSG00000010165;Q8N6R0,Cytoplasm,Nuclear localization signal,0.766700029,0.4903,0.069499999,0.214900002,0.060699999,0.0061,0.174700007,0.037500001,0.242500007,0.0142
ENSG00000010256;P31930,Mitochondrion,Mitochondrial transit peptide,0.1664,0.054200001,0.100400001,0.144299999,0.939999998,0.074900001,0.056000002,0.065499999,0.185599998,0.055
ENSG00000010379;Q9NSD5,Cell membrane,Transmembrane domain,0.160600007,0.079800002,0.0144,0.894500017,0.119099997,0.0014,0.144899994,0.306499988,0.177499995,0.0117
ENSG00000010404;P22304,Lysosome/Vacuole,Signal peptide,0.241600007,0.146200001,0.467999995,0.200599998,0.275999993,0.0087,0.404300004,0.606999993,0.286500007,0.060400002
ENSG00000010932;Q01740,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.319999993,0.130500004,0.093999997,0.230399996,0.27759999,0.0095,0.89230001,0.424699992,0.546599984,0.2324
ENSG00000011009;O95372,Cytoplasm,,0.639100015,0.242799997,0.229699999,0.504199982,0.183500007,0.076899998,0.296099991,0.171399996,0.243900001,0.035599999
ENSG00000011083;Q99884,Cell membrane,Transmembrane domain,0.140799999,0.073600002,0.0143,0.799700022,0.169699997,0.0053,0.188600004,0.277500004,0.189300001,0.0188
ENSG00000011198;Q8WTS1,Mitochondrion,,0.324800014,0.25940001,0.156499997,0.206,0.548099995,0.104800001,0.412200004,0.363400012,0.525699973,0.004
ENSG00000011275;Q9NWF9,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.691600025,0.805800021,0.088600002,0.067699999,0.100199997,0.0026,0.1778,0.041000001,0.032900002,0.0019
ENSG00000011405;O00443,Cytoplasm|Cell membrane|Lysosome/Vacuole,Nuclear localization signal,0.580500007,0.347200006,0.0273,0.636900008,0.142000005,0.005,0.271100014,0.58099997,0.367000014,0.0116
ENSG00000012232;O43909,Golgi apparatus,Signal peptide|Transmembrane domain,0.179299995,0.148399994,0.371600002,0.228799999,0.051800001,0.0071,0.452199996,0.237900004,0.962400019,0.0142
ENSG00000012660;Q9NYP7,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.082599998,0.171800002,0.030400001,0.1998,0.118299998,0.0083,0.640100002,0.108400002,0.156900004,0.125799999
ENSG00000012779;P09917,Cytoplasm,,0.766200006,0.345299989,0.303499997,0.336199999,0.084399998,0.0779,0.168899998,0.105499998,0.069300003,0.004
ENSG00000012963;Q8N806,Nucleus,Nuclear localization signal,0.345999986,0.937900007,0.032400001,0.0594,0.054400001,0.002,0.084200002,0.128199995,0.283699989,0.0011
ENSG00000013288;Q9Y2E5,Extracellular,Signal peptide,0.154699996,0.142299995,0.694500029,0.409000009,0.0867,0.0028,0.505200028,0.547900021,0.206,0.012
ENSG00000013375;O95394,Cytoplasm,,0.807699978,0.460500002,0.045000002,0.072400004,0.363400012,0.019200001,0.243399993,0.082500003,0.135600001,0.042100001
ENSG00000013392;Q9UIY3,Cytoplasm,,0.774699986,0.296400011,0.080799997,0.133900002,0.454600006,0.0054,0.0625,0.196799994,0.217800006,0.0092
ENSG00000013503;Q9NW08,Nucleus,Nuclear localization signal,0.378199995,0.656400025,0.096500002,0.032200001,0.063699998,0.034899998,0.243399993,0.035599999,0.072499998,0.0042
ENSG00000013561;Q9UBS8,Cytoplasm|Nucleus,Nuclear export signal,0.76639998,0.635399997,0.034200002,0.094800003,0.2289,0.0132,0.130199999,0.151199996,0.083300002,0.0016
ENSG00000014138;Q14181,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.55400002,0.744700015,0.0151,0.0394,0.044799998,0.0011,0.102600001,0.089599997,0.215000004,0.0107
ENSG00000014257;P15309,Endoplasmic reticulum,Signal peptide,0.211999997,0.093199998,0.619199991,0.253199995,0.096900001,0.0054,0.631200016,0.363299996,0.352400005,0.0209
ENSG00000014641;P40925,Cytoplasm|Nucleus,Nuclear localization signal,0.776600003,0.549000025,0.0124,0.289700001,0.184699997,0.0265,0.203199998,0.079300001,0.180299997,0.193499997
ENSG00000015413;P16444,Cell membrane,,0.152199998,0.096600004,0.306100011,0.671700001,0.167500004,0.0059,0.340700001,0.458000004,0.2597,0.0239
ENSG00000015520;Q9UHC9,Cell membrane,Signal peptide|Transmembrane domain,0.0814,0.132799998,0.029999999,0.790199995,0.0405,0.0081,0.403499991,0.545799971,0.350499988,0.053199999
ENSG00000015532;Q9H1B5,Extracellular|Golgi apparatus,Signal peptide|Transmembrane domain,0.163499996,0.108599998,0.749599993,0.262699991,0.081600003,0.0059,0.427399993,0.307399988,0.946099997,0.033599999
ENSG00000016391;Q8NE62,Mitochondrion,Mitochondrial transit peptide,0.155699998,0.121399999,0.141900003,0.130600005,0.9375,0.0032,0.073600002,0.135399997,0.163000003,0.060899999
ENSG00000016864;Q68CQ7,Golgi apparatus,Signal peptide|Transmembrane domain,0.148000002,0.127499998,0.242699996,0.075099997,0.065200001,0.0054,0.370599985,0.135299996,0.867500007,0.0107
ENSG00000017260;P98194,Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.172000006,0.0858,0.018300001,0.405200005,0.109999999,0.0039,0.410400003,0.625999987,0.650300026,0.0264
ENSG00000017483;Q8WUX1,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.149299994,0.079099998,0.059099998,0.81400001,0.120200001,0.0029,0.284999996,0.638300002,0.323500007,0.0228
ENSG00000017797;Q15311,Cytoplasm,Nuclear localization signal,0.680199981,0.346300006,0.065399997,0.400599986,0.099399999,0.0029,0.215200007,0.311699986,0.290100008,0.0023
ENSG00000018280;P49279,Cell membrane|Lysosome/Vacuole,Transmembrane domain,0.157600001,0.105700001,0.043699998,0.81279999,0.163499996,0.0015,0.368000001,0.685299993,0.415699989,0.017000001
ENSG00000018510;O00116,Cytoplasm|Peroxisome,Peroxisomal targeting signal,0.521499991,0.232099995,0.159099996,0.161699995,0.260699987,0.252000004,0.234599993,0.181099996,0.209999993,0.804799974
ENSG00000018625;P50993,Cell membrane,Transmembrane domain,0.219400004,0.111199997,0.0155,0.624800026,0.091799997,0.0017,0.522700012,0.543799996,0.430400014,0.005
ENSG00000019186;Q07973,Mitochondrion,Mitochondrial transit peptide,0.136899993,0.121699996,0.065700002,0.098800004,0.915099978,0.051199999,0.106799997,0.0504,0.073899999,0.0305
ENSG00000021461;Q9HB55,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.162400007,0.041900001,0.0559,0.149000004,0.139799997,0.0561,0.905099988,0.150600001,0.120200001,0.043000001
ENSG00000021488;P82251,Cell membrane,Transmembrane domain,0.095799997,0.128999993,0.0163,0.658500016,0.070200004,0.006,0.191200003,0.441100001,0.50910002,0.0076
ENSG00000021826;P31327,Mitochondrion,Mitochondrial transit peptide,0.157100007,0.103200004,0.065899998,0.103799999,0.902800024,0.123899996,0.0352,0.041499998,0.087899998,0.026699999
ENSG00000023041;Q9H6R6,Endoplasmic reticulum|Golgi apparatus,Transmembrane domain,0.245100006,0.222100005,0.0363,0.212099999,0.136000007,0.0383,0.682299972,0.192499995,0.87379998,0.0039
ENSG00000023228;P28331,Mitochondrion,Mitochondrial transit peptide,0.119099997,0.078599997,0.0187,0.075400002,0.938399971,0.123899996,0.030999999,0.0491,0.042399999,0.1096
ENSG00000023330;P13196,Mitochondrion,Mitochondrial transit peptide,0.293500006,0.175799996,0.047800001,0.086800002,0.92869997,0.065800004,0.074000001,0.037599999,0.112599999,0.069300003
ENSG00000023572;Q9NS18,Mitochondrion,Mitochondrial transit peptide,0.187099993,0.187900007,0.033799998,0.114100002,0.961199999,0.0537,0.103500001,0.146200001,0.099200003,0.090499997
ENSG00000023697;Q9Y315,Cytoplasm,,0.77609998,0.333499998,0.166199997,0.109999999,0.585200012,0.051800001,0.0493,0.121600002,0.037,0.0033
ENSG00000023839;Q92887,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.1127,0.084600002,0.0209,0.725300014,0.158000007,0.0081,0.414600015,0.62559998,0.311800003,0.033799998
ENSG00000023909;P48507,Cytoplasm,,0.569500029,0.260500014,0.098499998,0.241999999,0.568700016,0.072999999,0.059799999,0.185699999,0.130500004,0.0176
ENSG00000024048;Q8IWV8,Cytoplasm|Nucleus,Nuclear export signal,0.559199989,0.587599993,0.071599998,0.147100002,0.086199999,0.0019,0.209900007,0.458499998,0.185699999,0.0111
ENSG00000025423;O14756,Endoplasmic reticulum,Signal peptide,0.194299996,0.142399997,0.164100006,0.118799999,0.29370001,0.0072,0.780799985,0.169599995,0.311500013,0.0275
ENSG00000025708;P19971,Cytoplasm,,0.630100012,0.332500011,0.042599998,0.317900002,0.404000014,0.0052,0.173999995,0.150700003,0.162699997,0.085500002
ENSG00000025800;O60684,Cytoplasm|Nucleus,Nuclear export signal,0.609000027,0.692799985,0.0053,0.234500006,0.036499999,0.0028,0.090099998,0.195299998,0.281599998,0.059700001
ENSG00000026103;P25445,Cell membrane,Signal peptide|Transmembrane domain,0.215100005,0.119000003,0.451200008,0.779799998,0.217600003,0.015,0.408100009,0.564300001,0.542400002,0.050099999
ENSG00000026652;Q9NRZ5,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.129199997,0.160799995,0.0129,0.127000004,0.125400007,0.0219,0.932299972,0.158199996,0.381599993,0.02
ENSG00000027847;Q9UBV7,Golgi apparatus,Signal peptide|Transmembrane domain,0.144600004,0.118699998,0.324000001,0.117299996,0.078199998,0.0021,0.341899991,0.149299994,0.879800022,0.0036
ENSG00000029639;Q8WVM0,Cytoplasm|Nucleus,,0.567700028,0.581900001,0.055300001,0.133399993,0.599900007,0.035599999,0.184400007,0.0339,0.0129,0.026799999
ENSG00000030066;Q12769,Cytoplasm|Nucleus,Nuclear export signal,0.478599995,0.591600001,0.127700001,0.1426,0.163000003,0.0178,0.248699993,0.388099998,0.3574,0.0096
ENSG00000031698;P49591,Cytoplasm,Nuclear localization signal,0.683399975,0.477600008,0.040600002,0.085600004,0.436699986,0.0361,0.346199989,0.029999999,0.087700002,0.0144
ENSG00000032444;Q8IY17,Cell membrane,Signal peptide|Transmembrane domain,0.254000008,0.171200007,0.056699999,0.592199981,0.224900007,0.031500001,0.618399978,0.40990001,0.418599993,0.1008
ENSG00000033011;Q9BT22,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.1919,0.238299996,0.152199998,0.446799994,0.086000003,0.002,0.85860002,0.307500005,0.348100007,0.030300001
ENSG00000033100;Q9P2E5,Golgi apparatus,Signal peptide|Transmembrane domain,0.133300006,0.1699,0.30430001,0.198300004,0.104500003,0.0029,0.386299998,0.143199995,0.8301,0.0041
ENSG00000033170;Q9BYC5,Golgi apparatus,Signal peptide|Transmembrane domain,0.181199998,0.149299994,0.193499997,0.349700004,0.0403,0.0085,0.457700014,0.376399994,0.950699985,0.006
ENSG00000033178;A0AVT1,Cytoplasm,Nuclear export signal,0.725399971,0.517499983,0.0125,0.239700004,0.286000013,0.0024,0.136199996,0.246999994,0.197999999,0.015699999
ENSG00000033627;Q93050,Cell membrane|Lysosome/Vacuole,Transmembrane domain,0.157800004,0.151099995,0.0283,0.815299988,0.064999998,0.0018,0.305400014,0.656700015,0.336499989,0.0054
ENSG00000033867;Q9Y6M7,Cell membrane,Transmembrane domain,0.211300001,0.1184,0.0273,0.777100027,0.125599995,0.0043,0.263300002,0.360799998,0.252700001,0.0021
ENSG00000034677;Q9NV58,Cytoplasm|Cell membrane,Nuclear localization signal,0.499900013,0.328099996,0.037799999,0.753600001,0.2095,0.024800001,0.332399994,0.4023,0.395500004,0.072999999
ENSG00000035687;P30520,Cytoplasm,,0.750899971,0.253399998,0.143600002,0.041000001,0.448500007,0.0317,0.209600002,0.131799996,0.1417,0.080600001
ENSG00000036473;P00480,Mitochondrion,Mitochondrial transit peptide,0.213699996,0.108999997,0.057100002,0.055300001,0.929199994,0.034400001,0.043099999,0.055599999,0.072899997,0.041700002
ENSG00000036530;Q9Y6A2,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.202500001,0.127299994,0.118900001,0.192900002,0.424899995,0.024599999,0.905700028,0.152099997,0.304100007,0.0067
ENSG00000036565;P54219,Cell membrane,Transmembrane domain,0.142000005,0.087899998,0.046999998,0.780900002,0.100299999,0.004,0.51730001,0.476099998,0.313899994,0.0131
ENSG00000036672;O75604,Cytoplasm,Nuclear export signal,0.651899993,0.500899971,0.0167,0.209900007,0.216100007,0.004,0.308200002,0.151099995,0.143099993,0.0197
ENSG00000037757;Q9BV20,Cytoplasm,,0.762600005,0.523000002,0.032200001,0.131600007,0.335399985,0.045600001,0.109300002,0.228300005,0.078500003,0.053300001
ENSG00000037897;Q9UBP6,Cytoplasm|Nucleus,Nuclear export signal,0.56129998,0.693199992,0.0108,0.071199998,0.199200004,0.0064,0.157900006,0.213200003,0.099600002,0.0097
ENSG00000038002;P20933,Extracellular,Signal peptide,0.187000006,0.080300003,0.807699978,0.213599995,0.0526,0.041000001,0.365799993,0.477899998,0.217199996,0.0233
ENSG00000038210;Q8TCG2,Cytoplasm,Nuclear localization signal,0.534799993,0.352600008,0.249200001,0.441900015,0.368699998,0.028999999,0.449800014,0.494399995,0.573800027,0.029300001
ENSG00000038274;Q9NZL9,Cytoplasm,,0.512899995,0.514100015,0.083400004,0.1184,0.216900006,0.283499986,0.0845,0.186299995,0.1514,0.263000011
ENSG00000039123;P42285,Nucleus,Nuclear localization signal,0.319900006,0.821200013,0.033399999,0.069799997,0.115099996,0.0019,0.050999999,0.030999999,0.0145,0.0012
ENSG00000039650;Q96T60,Nucleus,Nuclear localization signal,0.375800014,0.896899998,0.088699996,0.097199999,0.142000005,0.0002,0.176200002,0.059300002,0.075199999,0.0069
ENSG00000040933;Q96PE3,Cytoplasm|Cell membrane,Nuclear localization signal,0.697700024,0.364199996,0.073799998,0.739300013,0.073700003,0.002,0.303299993,0.550999999,0.270700008,0.0033
ENSG00000041880;Q9Y6F1,Cytoplasm|Nucleus,Nuclear localization signal,0.494700015,0.859700024,0.170399994,0.146400005,0.0933,0.0016,0.074900001,0.148900002,0.053100001,0.0044
ENSG00000043514;Q9H3H1,Nucleus,,0.388599992,0.616699994,0.050099999,0.059700001,0.577799976,0.0002,0.223199993,0.0592,0.175500005,0.049699999
ENSG00000044446;P46019,Cytoplasm,Nuclear export signal,0.644500017,0.333600014,0.023700001,0.212500006,0.097599998,0.0041,0.275200009,0.353700012,0.474000007,0.0076
ENSG00000047230;Q9NRF8,Cytoplasm,,0.666100025,0.425500005,0.034200002,0.188299999,0.268400013,0.0053,0.065899998,0.257299989,0.206400007,0.0232
ENSG00000047249;Q9UI12,Cytoplasm,Nuclear export signal,0.693599999,0.52609998,0.020400001,0.266799986,0.174600005,0.0062,0.269600004,0.206200004,0.239500001,0.0174
ENSG00000047315;P30876,Nucleus,Nuclear localization signal,0.315899998,0.693400025,0.061700001,0.0469,0.071999997,0.0294,0.287200004,0.044300001,0.053100001,0.0044
ENSG00000047410;P12270,Cytoplasm|Nucleus,Nuclear localization signal,0.583899975,0.733699977,0.047699999,0.068300001,0.090999998,0.0083,0.082800001,0.095600002,0.152500004,0.003
ENSG00000047457;P00450,Extracellular,Signal peptide,0.193800002,0.144899994,0.601499975,0.312999994,0.042100001,0.0098,0.41839999,0.427100003,0.376300007,0.0126
ENSG00000048028;Q96RU2,Nucleus,Nuclear localization signal,0.310299993,0.941200018,0.053399999,0.068599999,0.0124,1.00E-04,0.151700005,0.084600002,0.078400001,0.0031
ENSG00000048392;Q7LG56,Cytoplasm,Nuclear export signal,0.703000009,0.455900013,0.018300001,0.245299995,0.0449,0.006,0.103200004,0.137999997,0.093599997,0.0086
ENSG00000049239;O95479,Extracellular,Signal peptide,0.424199998,0.215200007,0.557699978,0.322699994,0.319999993,0.0118,0.304100007,0.334899992,0.379400015,0.026000001
ENSG00000049759;Q96PU5,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.690999985,0.539200008,0.060400002,0.360700011,0.104999997,0.0009,0.185599998,0.408800006,0.296499997,0.0019
ENSG00000049860;P07686,Extracellular,Signal peptide,0.179000005,0.171200007,0.597299993,0.4454,0.0594,0.012,0.503400028,0.553799987,0.384499997,0.0101
ENSG00000050438;Q2Y0W8,Cell membrane,Transmembrane domain,0.177399993,0.1215,0.014,0.839900017,0.114699997,0.0042,0.315800011,0.369599998,0.27759999,0.0027
ENSG00000051341;O75417,Nucleus,Nuclear localization signal,0.261599988,0.923900008,0.042599998,0.0228,0.2412,0.0055,0.100100003,0.0266,0.0147,0.023
ENSG00000051382;P42338,Cytoplasm|Lysosome/Vacuole,Nuclear export signal,0.701799989,0.308899999,0.0973,0.4384,0.119099997,0.0012,0.215000004,0.586199999,0.289999992,0.0031
ENSG00000052802;Q15800,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.096600004,0.121299997,0.0059,0.150399998,0.116099998,0.0131,0.93690002,0.160099998,0.194999993,0.007
ENSG00000053371;O43488,Mitochondrion,Mitochondrial transit peptide,0.171100006,0.120700002,0.101300001,0.137400001,0.943599999,0.066799998,0.093599997,0.104599997,0.218799993,0.047699999
