rxnID	Equation	Reversibility	grRules	Comp	RHEA	MetaNetx	KEGG	BiGG	EC number	MetaCyc	Subsystems	Reactome
MAR20092	farnesyl-PP[n] + H2O[n] + heme[n] => Fe(II)-heme o[n] + PPi[n]	0	ENSG00000006695	n	RHEA:28070	MNXR115959	R07411	HEMEOS;HEMEOS_1;HEMEOSm;HEMEOSm_1;R_HEMEOS;R_HEMEOS_1;R_HEMEOSm;R_HEMEOSm_1	2.5.1.-;2.5.1.141	HEMEOSYN-RXN	Porphyrin metabolism	
MAR20093	H2O[c] + Hexadecenoyl Ethanolamide, C16:1-Ethanolamide (Delta 9)[c] => ethanolamine[c] + palmitate[c]	0	ENSG00000138744	c	RHEA:45064	MNXR168605			3.5.1.60;3.5.1.99		Fatty acid metabolism	
MAR20094	C12:0-Ethanolamide, Didecanoyl Ethanolamide[c] + H2O[c] => ethanolamine[c] + lauric acid[c]	0	ENSG00000138744	c	RHEA:45456	MNXR168677			3.5.1.99		Fatty acid metabolism	
MAR20095	H2O[c] + C14:0-Ethanolamide, Tetradecanoyl Ethanolamide[c] => ethanolamine[c] + myristic acid[c]	0	ENSG00000138744	c	RHEA:45452	MNXR168676			3.5.1.99		Fatty acid metabolism	
MAR20096	H2O[c] + N-hexadecanoylsphing-4-enine[c] => palmitate[c] + sphingosine[c]	0	ENSG00000138744	c	RHEA:38891	MNXR132111			3.5.1.23		Fatty acid metabolism	
MAR20097	H2O[c] + N-dodecanoylsphing-4-enine[c] => lauric acid[c] + sphingosine[c]	0	ENSG00000138744	c	RHEA:41291	MNXR127741			3.5.1.23		Fatty acid metabolism	
MAR20098	farnesyl-PP[r] + 5 isopentenyl-pPP[r]  => dehydrodolichol-diphosphate[r] + 5 PPi[r] 	0	ENSG00000117682	r	RHEA:53008				2.5.1.87 		Terpenoid backbone biosynthesis	
MAR20099	2-O-acetyl-ADP-D-ribose[n] + H2O[n] => ADP-ribose[n] + H+[n] + acetate[n]	0	ENSG00000172264 or ENSG00000133315 or ENSG00000124596	n	RHEA:57060	MNXR123366	R12391		3.1.1.106		Isolated	
MAR20100	H2O[n] + alpha-NAD(+)[n] => ADP-ribose[n] + H+[n] + nicotinamide[n]	0	ENSG00000172264 or ENSG00000133315 or ENSG00000124596	n	RHEA:68792						Isolated	
MAR20101	3-O-acetyl-ADP-D-ribose[n] + H2O[n] => ADP-ribose[n] + H+[n] + acetate[n]	0	ENSG00000133315	n	RHEA:59244	MNXR163813	R12390		3.1.1.106;3.1.1.y		Isolated	
MAR20102	2-Trans,6-Trans,10-Trans-Geranylgeranyl Diphosphate[c] + menadiol[c] => PPi[c] + menaquinol-4[c]	0	ENSG00000120942	c	RHEA:74083				2.5.1.M22	RXN-19669	Isolated	
MAR20103	2-Trans,6-Trans,10-Trans-Geranylgeranyl Diphosphate[r] + menadiol[r] => PPi[r] + menaquinol-4[r]	0	ENSG00000120942	r	RHEA:74083				2.5.1.M22	RXN-19669	Isolated	
MAR20104	2-Trans,6-Trans,10-Trans-Geranylgeranyl Diphosphate[g] + menadiol[g] => PPi[g] + menaquinol-4[g]	0	ENSG00000120942	g	RHEA:74083				2.5.1.M22	RXN-19669	Isolated	
MAR20105	2-Trans,6-Trans,10-Trans-Geranylgeranyl Diphosphate[n] + menadiol[n] => PPi[n] + menaquinol-4[n]	0	ENSG00000120942	n	RHEA:74083				2.5.1.M22	RXN-19669	Isolated	
MAR20106	4-hydroxybenzoate[c] + all-trans-decaprenyl-diphosphate[c] => 3-decaprenyl-4-hydroxybenzoate[c] + PPi[c]	0	ENSG00000120942	c	RHEA:44564	MNXR100567		HBZOPT10m;R_HBZOPT10m	2.5.1.39		Ubiquinone and other terpenoid-quinone biosynthesis	
MAR20107	4-hydroxybenzoate[r] + all-trans-decaprenyl-diphosphate[r] => 3-decaprenyl-4-hydroxybenzoate[r] + PPi[r]	0	ENSG00000120942	r	RHEA:44564	MNXR100567		HBZOPT10m;R_HBZOPT10m	2.5.1.39		Ubiquinone and other terpenoid-quinone biosynthesis	
MAR20108	4-hydroxybenzoate[g] + all-trans-decaprenyl-diphosphate[g] => 3-decaprenyl-4-hydroxybenzoate[g] + PPi[g]	0	ENSG00000120942	g	RHEA:44564	MNXR100567		HBZOPT10m;R_HBZOPT10m	2.5.1.39		Ubiquinone and other terpenoid-quinone biosynthesis	
MAR20109	4-hydroxybenzoate[n] + all-trans-decaprenyl-diphosphate[n] => 3-decaprenyl-4-hydroxybenzoate[n] + PPi[n]	0	ENSG00000120942	n	RHEA:44564	MNXR100567		HBZOPT10m;R_HBZOPT10m	2.5.1.39		Ubiquinone and other terpenoid-quinone biosynthesis	
