# These grRules refinements are collected by Jonathan Robinson and others
# during the curation process. The information is organized into 5 columns
# as below. The third column 'grRulesNew' are intended changes to be applied.
# The forth column 'Reference' contains the evidence source for guiding the
# changes that are further explained by the fifth column 'Notes'.
rxnID	grRulesOrig	grRulesNew	Reference	Notes
HMR_5135	ENSG00000110619 or ENSG00000134905	ENSG00000110619 or ENSG00000278191	NCBI (ID: 79587, 833)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5137	ENSG00000103356 or ENSG00000136628	ENSG00000136628	NCBI (ID: 124454, 2058)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5139	ENSG00000112855 or ENSG00000170445	ENSG00000170445	NCBI (ID: 23438, 3035)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5140	ENSG00000067704 or ENSG00000196305	ENSG00000196305	NCBI (ID: 3376, 55699)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5141	ENSG00000011376 or ENSG00000133706	ENSG00000133706	NCBI (ID: 23395, 51520)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5143	ENSG00000166986 or ENSG00000247626	ENSG00000166986	NCBI (ID: 4141, 92935)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5145	ENSG00000116120 or ENSG00000145982 or ENSG00000179115	ENSG00000116120 and ENSG00000179115	NCBI (ID: 10056, 10667, 2193)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5146	ENSG00000136628 or ENSG00000162396	ENSG00000136628	NCBI (ID: 2058, 25973)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5147	ENSG00000031698 or ENSG00000104835	ENSG00000031698	NCBI (ID: 54938, 6301)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5148	ENSG00000113407 or ENSG00000143374 or ENSG00000185418	ENSG00000113407	NCBI (ID: 123283, 6897, 80222)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5149	ENSG00000116874 or ENSG00000140105	ENSG00000140105	NCBI (ID: 10352, 7453)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_5150	ENSG00000137411 or ENSG00000204394	ENSG00000096171 or ENSG00000204394 or ENSG00000224264 or ENSG00000226589 or ENSG00000227686 or ENSG00000231116 or ENSG00000231945	NCBI (ID: 57176, 7407)	Several tRNA synthetase reactions in the model are associated with both the cytoplasmic and mitochondrial version of the gene, despite the reaction only taking place in the cytoplasm. Therefore, the mitochondrial version of the gene will be removed.
HMR_7161	(ENSG00000068654 and ENSG00000125630 and ENSG00000137054 and ENSG00000163882 and ENSG00000177700) or (ENSG00000005075 and ENSG00000047315 and ENSG00000099817 and ENSG00000100142 and ENSG00000102978 and ENSG00000105258 and ENSG00000144231 and ENSG00000147669 and ENSG00000163882 and ENSG00000168002 and ENSG00000177700 and ENSG00000181222) or ENSG00000013503 or ENSG00000039523 or ENSG00000058600 or ENSG00000066379 or ENSG00000083223 or ENSG00000090060 or ENSG00000099821 or ENSG00000107951 or ENSG00000113356 or ENSG00000115421 or ENSG00000121851 or ENSG00000132664 or ENSG00000134744 or ENSG00000148606 or ENSG00000149016 or ENSG00000161980 or ENSG00000164329 or ENSG00000168495 or ENSG00000171453 or ENSG00000172016 or ENSG00000181019 or ENSG00000186141 or ENSG00000186184 or ENSG00000218823	(ENSG00000113356 or ENSG00000121851) and (ENSG00000090060 or ENSG00000115421 or ENSG00000164329 or ENSG00000218823) and (ENSG00000083223 or ENSG00000134744 or ENSG00000149016) and (ENSG00000181222 or ENSG00000284832) and (ENSG00000058600 or ENSG00000284282) and (ENSG00000066379 or ENSG00000206502 or ENSG00000224859 or ENSG00000233795 or ENSG00000235176 or ENSG00000235443 or ENSG00000236808 or ENSG00000236949) and ENSG00000005075 and ENSG00000013503 and ENSG00000047315 and ENSG00000068654 and ENSG00000099817 and ENSG00000099821 and ENSG00000100142 and ENSG00000100413 and ENSG00000102978 and ENSG00000105258 and ENSG00000107951 and ENSG00000125630 and ENSG00000132664 and ENSG00000137054 and ENSG00000144231 and ENSG00000147669 and ENSG00000148606 and ENSG00000161980 and ENSG00000163882 and ENSG00000168002 and ENSG00000168495 and ENSG00000171453 and ENSG00000177700 and ENSG00000186141 and ENSG00000186184	HGNC (RNA polymerase subunits [POLR]), NCBI (84265) for POLR3GL isozyme, NCBI (10914, 167153, 56903, 64895) for polyA polymerases, NCBI (23318, 64852, 79670) for uridyltransferases.	The original grRules do not properly represent the enzyme complexes in their grRules, and are associated with some genes (NQO1, REG3A, RIPOR1) that are unrelated. Therefore, the rule will be updated to incorporate complex information, and to remove erroneously associated genes. All subunits of RNA polymerase are included as components of the complex, with the following exceptions: POLR3GL is an isozyme of subunit POLR3G; PAPOLA, PAPOLB, PAPOLG, and TENT2 are poly-A polymerases; TUT1, TUT4, and TUT7 are uridyltransferase enzymes.
HMR_7162	ENSG00000138035	(ENSG00000113356 or ENSG00000121851) and (ENSG00000090060 or ENSG00000115421 or ENSG00000164329 or ENSG00000218823) and (ENSG00000083223 or ENSG00000134744 or ENSG00000149016) and (ENSG00000181222 or ENSG00000284832) and (ENSG00000058600 or ENSG00000284282) and (ENSG00000066379 or ENSG00000206502 or ENSG00000224859 or ENSG00000233795 or ENSG00000235176 or ENSG00000235443 or ENSG00000236808 or ENSG00000236949) and ENSG00000005075 and ENSG00000013503 and ENSG00000047315 and ENSG00000068654 and ENSG00000099817 and ENSG00000099821 and ENSG00000100142 and ENSG00000100413 and ENSG00000102978 and ENSG00000105258 and ENSG00000107951 and ENSG00000125630 and ENSG00000132664 and ENSG00000137054 and ENSG00000144231 and ENSG00000147669 and ENSG00000148606 and ENSG00000161980 and ENSG00000163882 and ENSG00000168002 and ENSG00000168495 and ENSG00000171453 and ENSG00000177700 and ENSG00000186141 and ENSG00000186184	HGNC (RNA polymerase subunits [POLR]), NCBI (84265) for POLR3GL isozyme, NCBI (10914, 167153, 56903, 64895) for polyA polymerases, NCBI (23318, 64852, 79670) for uridyltransferases.	The original grRules do not properly represent the enzyme complexes in their grRules, and are associated with some genes (NQO1, REG3A, RIPOR1) that are unrelated. Therefore, the rule will be updated to incorporate complex information, and to remove erroneously associated genes. All subunits of RNA polymerase are included as components of the complex, with the following exceptions: POLR3GL is an isozyme of subunit POLR3G; PAPOLA, PAPOLB, PAPOLG, and TENT2 are poly-A polymerases; TUT1, TUT4, and TUT7 are uridyltransferase enzymes.
HMR_4611	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
HMR_4612	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
HMR_4614	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
HMR_4615	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
HMR_4617	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
HMR_4618	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
HMR_4619	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
HMR_4621	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
HMR_5415	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
HMR_5416	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
HMR_6621	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
HMR_6622	ENSG00000048392 or ENSG00000136810 or ENSG00000167325 or ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
r1431	ENSG00000048392 and ENSG00000167325 and ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
r1432	ENSG00000048392 and ENSG00000167325 and ENSG00000171848	(ENSG00000100348 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848) or (ENSG00000136810 and ENSG00000048392 and ENSG00000167325 and ENSG00000171848)	UniProt (Q7LG56, P23921)	Need to account for enzyme complex and thioredoxin dependency in grRules of reactions involving conversion of ribonucleotides into deoxyribonucleotides
