# Date: 2018-08-21
# Curated Ensembl Gene IDs based extensive pseudogene check
# Some outdated IDs were also remvoed or replaced
ORIGINAL_ENSEMBL	ORIGINAL_ENTREZ	ORIGINAL_NAME	UPDATED_ENSEMBL_IDS	FINAL_ENSEMBL_IDS	NOTES
ENSG00000010932	2326	FMO1	ENSG00000010932	ENSG00000010932	
ENSG00000011009	11313	LYPLA2	ENSG00000011009	ENSG00000011009	
ENSG00000011052	4831	NME2	ENSG00000011052	ENSG00000011052	
ENSG00000011083	6534	SLC6A7	ENSG00000011083	ENSG00000011083	
ENSG00000011198	51099	ABHD5	ENSG00000011198	ENSG00000011198	
ENSG00000011275	54476	RNF216	ENSG00000011275	ENSG00000011275	
ENSG00000011376	23395	LARS2	ENSG00000011376	ENSG00000011376	
ENSG00000011405	5286	PIK3C2A	ENSG00000011405	ENSG00000011405	
ENSG00000011485	5536	PPP5C	ENSG00000011485	ENSG00000011485	
ENSG00000011566	8491	MAP4K3	ENSG00000011566	ENSG00000011566	
ENSG00000012232	2137	EXTL3	ENSG00000012232	ENSG00000012232	
ENSG00000012660	60481	ELOVL5	ENSG00000012660	ENSG00000012660	
ENSG00000012779	240	ALOX5	ENSG00000012779	ENSG00000012779	
ENSG00000012963	55148	UBR7	ENSG00000012963	ENSG00000012963	
ENSG00000012983	11183	MAP4K5	ENSG00000012983	ENSG00000012983	
ENSG00000013288	23324	MAN2B2	ENSG00000013288	ENSG00000013288	
ENSG00000013375	5238	PGM3	ENSG00000013375	ENSG00000013375	
ENSG00000013392	112611	RWDD2A	ENSG00000013392	ENSG00000013392	
ENSG00000013441	1195	CLK1	ENSG00000013441	ENSG00000013441	
ENSG00000013503	55703	POLR3B	ENSG00000013503	ENSG00000013503	
ENSG00000013561	9604	RNF14	ENSG00000013561	ENSG00000013561	
ENSG00000013573	1663	DDX11	ENSG00000013573	ENSG00000013573	
ENSG00000014138	23649	POLA2	ENSG00000014138	ENSG00000014138	
ENSG00000014257	55	ACPP	ENSG00000014257	ENSG00000014257	
ENSG00000014641	4190	MDH1	ENSG00000014641	ENSG00000014641	
ENSG00000014919	1355	COX15	ENSG00000014919	ENSG00000014919	
ENSG00000015413	1800	DPEP1	ENSG00000015413	ENSG00000015413	
ENSG00000015520	29881	NPC1L1	ENSG00000015520	ENSG00000015520	
ENSG00000015532	64132	XYLT2	ENSG00000015532	ENSG00000015532	
ENSG00000016391	55349	CHDH	ENSG00000016391	ENSG00000016391	
ENSG00000016864	55830	GLT8D1	ENSG00000016864	ENSG00000016864	
ENSG00000017260	27032	ATP2C1	ENSG00000017260	ENSG00000017260	
ENSG00000017483	92745	SLC38A5	ENSG00000017483	ENSG00000017483	
ENSG00000018280	6556	SLC11A1	ENSG00000018280	ENSG00000018280	
ENSG00000018510	8540	AGPS	ENSG00000018510	ENSG00000018510	
ENSG00000018625	477	ATP1A2	ENSG00000018625	ENSG00000018625	
ENSG00000019186	1591	CYP24A1	ENSG00000019186	ENSG00000019186	
ENSG00000021461	64816	CYP3A43	ENSG00000021461	ENSG00000021461	
ENSG00000021488	11136	SLC7A9	ENSG00000021488	ENSG00000021488	
ENSG00000021574	6683	SPAST	ENSG00000021574	ENSG00000021574	
ENSG00000021826	1373	CPS1	ENSG00000021826	ENSG00000021826	
ENSG00000023041	64429	ZDHHC6	ENSG00000023041	ENSG00000023041	
ENSG00000023228	4719	NDUFS1	ENSG00000023228	ENSG00000023228	
ENSG00000023330	211	ALAS1	ENSG00000023330	ENSG00000023330	
ENSG00000023572	51022	GLRX2	ENSG00000023572	ENSG00000023572	
ENSG00000023697	51071	DERA	ENSG00000023697	ENSG00000023697	
ENSG00000023839	1244	ABCC2	ENSG00000023839	ENSG00000023839	
ENSG00000023909	2730	GCLM	ENSG00000023909	ENSG00000023909	
ENSG00000024048	23304	UBR2	ENSG00000024048	ENSG00000024048	
ENSG00000025423	8630	HSD17B6	ENSG00000025423	ENSG00000025423	
ENSG00000025708	1890	TYMP	ENSG00000025708	ENSG00000025708	
ENSG00000025800	23633	KPNA6	ENSG00000025800	ENSG00000025800	
ENSG00000026103	355	FAS	ENSG00000026103	ENSG00000026103	
ENSG00000026652	56895	AGPAT4	ENSG00000026652	ENSG00000026652	
ENSG00000027075	5583	PRKCH	ENSG00000027075	ENSG00000027075	
ENSG00000027644	3645	INSRR	ENSG00000027644	ENSG00000027644	
ENSG00000027847	11285	B4GALT7	ENSG00000027847	ENSG00000027847	
ENSG00000028116	7444	VRK2	ENSG00000028116	ENSG00000028116	
ENSG00000029639	51106	TFB1M	ENSG00000029639	ENSG00000029639	
ENSG00000030066	23279	NUP160	ENSG00000030066	ENSG00000030066	
ENSG00000030304	4593	MUSK	ENSG00000030304	ENSG00000030304	
ENSG00000031698	6301	SARS	ENSG00000031698	ENSG00000031698	
ENSG00000032444	10908	PNPLA6	ENSG00000032444	ENSG00000032444	
ENSG00000033011	56052	ALG1	ENSG00000033011	ENSG00000033011	
ENSG00000033100	54480	CHPF2	ENSG00000033100	ENSG00000033100	
ENSG00000033170	2530	FUT8	ENSG00000033170	ENSG00000033170	
ENSG00000033178	55236	UBA6	ENSG00000033178	ENSG00000033178	
ENSG00000033627	535	ATP6V0A1	ENSG00000033627	ENSG00000033627	
ENSG00000033867	9497	SLC4A7	ENSG00000033867	ENSG00000033867	
ENSG00000034063	29128	UHRF1	ENSG00000276043	ENSG00000276043	Updated Ensembl ID
ENSG00000034152	5606	MAP2K3	ENSG00000034152	ENSG00000034152	
ENSG00000034677	25897	RNF19A	ENSG00000034677	ENSG00000034677	
ENSG00000035664	23604	DAPK2	ENSG00000035664	ENSG00000035664	
ENSG00000035687	159	ADSS	ENSG00000035687	ENSG00000035687	
ENSG00000036473	5009	OTC	ENSG00000036473	ENSG00000036473	
ENSG00000036530	10858	CYP46A1	ENSG00000036530	ENSG00000036530	
ENSG00000036565	6570	SLC18A1	ENSG00000036565	ENSG00000036565	
ENSG00000036672	9099	USP2	ENSG00000036672	ENSG00000036672	
ENSG00000037280	2324	FLT4	ENSG00000037280	ENSG00000037280	
ENSG00000037757	84245	MRI1	ENSG00000037757	ENSG00000037757	
ENSG00000037897	4234	METTL1	ENSG00000037897	ENSG00000037897	
ENSG00000038002	175	AGA	ENSG00000038002	ENSG00000038002	
ENSG00000038210	55300	PI4K2B	ENSG00000038210	ENSG00000038210	
ENSG00000038274	27430	MAT2B	ENSG00000038274	ENSG00000038274	
ENSG00000038382	7204	TRIO	ENSG00000038382	ENSG00000038382	
ENSG00000039123	23517	SKIV2L2	ENSG00000039123	ENSG00000039123	
ENSG00000039523	79567	FAM65A	ENSG00000039523	ENSG00000039523	
ENSG00000039650	11284	PNKP	ENSG00000039650	ENSG00000039650	
ENSG00000040199	23035	PHLPP2	ENSG00000040199	ENSG00000040199	
ENSG00000040933	3631	INPP4A	ENSG00000040933	ENSG00000040933	
ENSG00000041880	10039	PARP3	ENSG00000041880	ENSG00000041880	
ENSG00000043514	54802	TRIT1	ENSG00000043514	ENSG00000043514	
ENSG00000044446	5256	PHKA2	ENSG00000044446	ENSG00000044446	
ENSG00000044524	2042	EPHA3	ENSG00000044524	ENSG00000044524	
ENSG00000047230	56474	CTPS2	ENSG00000047230	ENSG00000047230	
ENSG00000047249	51606	ATP6V1H	ENSG00000047249	ENSG00000047249	
ENSG00000047315	5431	POLR2B	ENSG00000047315	ENSG00000047315	
ENSG00000047457	1356	CP	ENSG00000047457	ENSG00000047457	
ENSG00000047936	6098	ROS1	ENSG00000047936	ENSG00000047936	
ENSG00000048028	57646	USP28	ENSG00000048028	ENSG00000048028	
ENSG00000048392	50484	RRM2B	ENSG00000048392	ENSG00000048392	
ENSG00000049239	9563	H6PD	ENSG00000049239	ENSG00000049239	
ENSG00000049319	6716	SRD5A2	ENSG00000277893	ENSG00000277893	Updated Ensembl ID
ENSG00000049759	23327	NEDD4L	ENSG00000049759	ENSG00000049759	
ENSG00000049860	3074	HEXB	ENSG00000049860	ENSG00000049860	
ENSG00000050438	9498	SLC4A8	ENSG00000050438	ENSG00000050438	
ENSG00000050748	5601	MAPK9	ENSG00000050748	ENSG00000050748	
ENSG00000051341	10721	POLQ	ENSG00000051341	ENSG00000051341	
ENSG00000051382	5291	PIK3CB	ENSG00000051382	ENSG00000051382	
ENSG00000052802	6307	MSMO1	ENSG00000052802	ENSG00000052802	
ENSG00000053371	8574	AKR7A2	ENSG00000053371	ENSG00000053371	
ENSG00000054148	29085	PHPT1	ENSG00000054148	ENSG00000054148	
ENSG00000054179	954	ENTPD2	ENSG00000054179	ENSG00000054179	
ENSG00000054267	51742	ARID4B	ENSG00000054267	ENSG00000054267	
ENSG00000054356	5798	PTPRN	ENSG00000054356	ENSG00000054356	
ENSG00000054392	55733	HHAT	ENSG00000054392	ENSG00000054392	
ENSG00000054793	10079	ATP9A	ENSG00000054793	ENSG00000054793	
ENSG00000054983	2581	GALC	ENSG00000054983	ENSG00000054983	
ENSG00000055332	5610	EIF2AK2	ENSG00000055332	ENSG00000055332	
ENSG00000055483	57602	USP36	ENSG00000055483	ENSG00000055483	
ENSG00000055609	58508	MLL3	ENSG00000055609	ENSG00000055609	
ENSG00000056998	8908	GYG2	ENSG00000056998	ENSG00000056998	
ENSG00000057252	6646	SOAT1	ENSG00000057252	ENSG00000057252	
ENSG00000058056	8975	USP13	ENSG00000058056	ENSG00000058056	
ENSG00000058063	23200	ATP11B	ENSG00000058063	ENSG00000058063	
ENSG00000058091	5218	CDK14	ENSG00000058091	ENSG00000058091	
ENSG00000058404	816	CAMK2B	ENSG00000058404	ENSG00000058404	
ENSG00000058600	55718	POLR3E	ENSG00000058600	ENSG00000058600	
ENSG00000058668	493	ATP2B4	ENSG00000058668	ENSG00000058668	
ENSG00000058729	55781	RIOK2	ENSG00000058729	ENSG00000058729	
ENSG00000058866	1608	DGKG	ENSG00000058866	ENSG00000058866	
ENSG00000059377	6916	TBXAS1	ENSG00000059377	ENSG00000059377	
ENSG00000059378	64761	PARP12	ENSG00000059378	ENSG00000059378	
ENSG00000059573	5832	ALDH18A1	ENSG00000059573	ENSG00000059573	
ENSG00000059588	6894	TARBP1	ENSG00000059588	ENSG00000059588	
ENSG00000059758	5128	CDK17	ENSG00000059758	ENSG00000059758	
ENSG00000059804	6515	SLC2A3	ENSG00000059804	ENSG00000059804	
ENSG00000060069	9150	CTDP1	ENSG00000060069	ENSG00000060069	
ENSG00000060140	55359	STYK1	ENSG00000060140	ENSG00000060140	
ENSG00000060237	65125	WNK1	ENSG00000060237	ENSG00000060237	
ENSG00000060642	55650	PIGV	ENSG00000060642	ENSG00000060642	
ENSG00000060656	10076	PTPRU	ENSG00000060656	ENSG00000060656	
ENSG00000060762	51660	MPC1	ENSG00000060762	ENSG00000060762	
ENSG00000060971	30	ACAA1	ENSG00000060971	ENSG00000060971	
ENSG00000060982	586	BCAT1	ENSG00000060982	ENSG00000060982	
ENSG00000061918	2983	GUCY1B3	ENSG00000061918	ENSG00000061918	
ENSG00000061938	10188	TNK2	ENSG00000061938	ENSG00000061938	
ENSG00000062282	84649	DGAT2	ENSG00000062282	ENSG00000062282	
ENSG00000062485	1431	CS	ENSG00000062485	ENSG00000062485	
ENSG00000062524	4058	LTK	ENSG00000062524	ENSG00000062524	
ENSG00000062822	5424	POLD1	ENSG00000062822	ENSG00000062822	
ENSG00000063176	56848	SPHK2	ENSG00000063176	ENSG00000063176	
ENSG00000063601	8776	MTMR1	ENSG00000063601	ENSG00000063601	
ENSG00000063854	3029	HAGH	ENSG00000063854	ENSG00000063854	
ENSG00000064225	10402	ST3GAL6	ENSG00000064225	ENSG00000064225	
ENSG00000064270	9914	ATP2C2	ENSG00000064270	ENSG00000064270	
ENSG00000064393	28996	HIPK2	ENSG00000064393	ENSG00000064393	
ENSG00000064601	5476	CTSA	ENSG00000064601	ENSG00000064601	
ENSG00000064651	6558	SLC12A2	ENSG00000064651	ENSG00000064651	
ENSG00000064655	2139	EYA2	ENSG00000064655	ENSG00000064655	
ENSG00000064703	11218	DDX20	ENSG00000064703	ENSG00000064703	
ENSG00000064763	55711	FAR2	ENSG00000064763	ENSG00000064763	
ENSG00000065154	4942	OAT	ENSG00000065154	ENSG00000065154	
ENSG00000065243	5586	PKN2	ENSG00000065243	ENSG00000065243	
ENSG00000065357	1606	DGKA	ENSG00000065357	ENSG00000065357	
ENSG00000065361	2065	ERBB3	ENSG00000065361	ENSG00000065361	
ENSG00000065427	3735	KARS	ENSG00000065427	ENSG00000065427	
ENSG00000065485	10954	PDIA5	ENSG00000065485	ENSG00000065485	
ENSG00000065518	4710	NDUFB4	ENSG00000065518	ENSG00000065518	
ENSG00000065534	4638	MYLK	ENSG00000065534	ENSG00000065534	
ENSG00000065559	6416	MAP2K4	ENSG00000065559	ENSG00000065559	
ENSG00000065613	9748	SLK	ENSG00000065613	ENSG00000065613	
ENSG00000065615	51167	CYB5R4	ENSG00000065615	ENSG00000065615	
ENSG00000065621	119391	GSTO2	ENSG00000065621	ENSG00000065621	
ENSG00000065675	5588	PRKCQ	ENSG00000065675	ENSG00000065675	
ENSG00000065833	4199	ME1	ENSG00000065833	ENSG00000065833	
ENSG00000065883	8621	CDK13	ENSG00000065883	ENSG00000065883	
ENSG00000065911	10797	MTHFD2	ENSG00000065911	ENSG00000065911	
ENSG00000065923	84679	SLC9A7	ENSG00000065923	ENSG00000065923	
ENSG00000065989	5141	PDE4A	ENSG00000065989	ENSG00000065989	
ENSG00000066056	7075	TIE1	ENSG00000066056	ENSG00000066056	
ENSG00000066230	6550	SLC9A3	ENSG00000066230	ENSG00000066230	
ENSG00000066322	64834	ELOVL1	ENSG00000066322	ENSG00000066322	
ENSG00000066379	30834	ZNRD1	ENSG00000066379	ENSG00000066379	
ENSG00000066468	2263	FGFR2	ENSG00000066468	ENSG00000066468	
ENSG00000066651	60487	TRMT11	ENSG00000066651	ENSG00000066651	
ENSG00000066813	348158	ACSM2B	ENSG00000066813	ENSG00000066813	
ENSG00000066926	2235	FECH	ENSG00000066926	ENSG00000066926	
ENSG00000067048	8653	DDX3Y	ENSG00000067048	ENSG00000067048	
ENSG00000067057	5214	PFKP	ENSG00000067057	ENSG00000067057	
ENSG00000067064	3422	IDI1	ENSG00000067064	ENSG00000067064	
ENSG00000067113	8611	PPAP2A	ENSG00000067113	ENSG00000067113	
ENSG00000067177	5255	PHKA1	ENSG00000067177	ENSG00000067177	
ENSG00000067225	5315	PKM	ENSG00000067225	ENSG00000067225	
ENSG00000067365	79091	METTL22	ENSG00000067365	ENSG00000067365	
ENSG00000067596	1659	DHX8	ENSG00000067596	ENSG00000067596	
ENSG00000067606	5590	PRKCZ	ENSG00000067606	ENSG00000067606	
ENSG00000067704	55699	IARS2	ENSG00000067704	ENSG00000067704	
ENSG00000067829	3421	IDH3G	ENSG00000067829	ENSG00000067829	
ENSG00000067840	57595	PDZD4	ENSG00000067840	ENSG00000067840	
ENSG00000067842	492	ATP2B3	ENSG00000067842	ENSG00000067842	
ENSG00000067900	6093	ROCK1	ENSG00000067900	ENSG00000067900	
ENSG00000067992	5165	PDK3	ENSG00000067992	ENSG00000067992	
ENSG00000068001	8692	HYAL2	ENSG00000068001	ENSG00000068001	
ENSG00000068078	2261	FGFR3	ENSG00000068078	ENSG00000068078	
ENSG00000068120	80347	COASY	ENSG00000068120	ENSG00000068120	
ENSG00000068308	55593	OTUD5	ENSG00000068308	ENSG00000068308	
ENSG00000068366	2182	ACSL4	ENSG00000068366	ENSG00000068366	
ENSG00000068383	3632	INPP5A	ENSG00000068383	ENSG00000068383	
ENSG00000068438	24140	FTSJ1	ENSG00000068438	ENSG00000068438	
ENSG00000068650	23250	ATP11A	ENSG00000068650	ENSG00000068650	
ENSG00000068654	25885	POLR1A	ENSG00000068654	ENSG00000068654	
ENSG00000068745	51447	IP6K2	ENSG00000068745	ENSG00000068745	
ENSG00000068903	22933	SIRT2	ENSG00000068903	ENSG00000068903	
ENSG00000068976	5837	PYGM	ENSG00000068976	ENSG00000068976	
ENSG00000069020	375449	MAST4	ENSG00000069020	ENSG00000069020	
ENSG00000069248	55746	NUP133	ENSG00000069248	ENSG00000069248	
ENSG00000069535	4129	MAOB	ENSG00000069535	ENSG00000069535	
ENSG00000069667	6095	RORA	ENSG00000069667	ENSG00000069667	
ENSG00000069764	8399	PLA2G10	ENSG00000069764	ENSG00000069764	
ENSG00000069849	483	ATP1B3	ENSG00000069849	ENSG00000069849	
ENSG00000069869	4734	NEDD4	ENSG00000069869	ENSG00000069869	
ENSG00000069943	9488	PIGB	ENSG00000069943	ENSG00000069943	
ENSG00000069956	5597	MAPK6	ENSG00000069956	ENSG00000069956	
ENSG00000070019	2984	GUCY2C	ENSG00000070019	ENSG00000070019	
ENSG00000070159	5774	PTPN3	ENSG00000070159	ENSG00000070159	
ENSG00000070214	23446	SLC44A1	ENSG00000070214	ENSG00000070214	
ENSG00000070423	55658	RNF126	ENSG00000070423	ENSG00000070423	
ENSG00000070501	5423	POLB	ENSG00000070501	ENSG00000070501	
ENSG00000070526	55808	ST6GALNAC1	ENSG00000070526	ENSG00000070526	
ENSG00000070610	57704	GBA2	ENSG00000070610	ENSG00000070610	
ENSG00000070614	3340	NDST1	ENSG00000070614	ENSG00000070614	
ENSG00000070669	440	ASNS	ENSG00000070669	ENSG00000070669	
ENSG00000070731	10610	ST6GALNAC2	ENSG00000070731	ENSG00000070731	
ENSG00000070748	1103	CHAT	ENSG00000070748	ENSG00000070748	
ENSG00000070759	10420	TESK2	ENSG00000070759	ENSG00000070759	
ENSG00000070770	1459	CSNK2A2	ENSG00000070770	ENSG00000070770	
ENSG00000070778	11099	PTPN21	ENSG00000070778	ENSG00000070778	
ENSG00000070808	815	CAMK2A	ENSG00000070808	ENSG00000070808	
ENSG00000070886	2046	EPHA8	ENSG00000070886	ENSG00000070886	
ENSG00000070915	6559	SLC12A3	ENSG00000070915	ENSG00000070915	
ENSG00000070950	56852	RAD18	ENSG00000070950	ENSG00000070950	
ENSG00000070961	490	ATP2B1	ENSG00000070961	ENSG00000070961	
ENSG00000071054	9448	MAP4K4	ENSG00000071054	ENSG00000071054	
ENSG00000071073	11320	MGAT4A	ENSG00000071073	ENSG00000071073	
ENSG00000071242	6196	RPS6KA2	ENSG00000071242	ENSG00000071242	
ENSG00000071462	114049	WBSCR22	ENSG00000071462	ENSG00000071462	
ENSG00000071553	537	ATP6AP1	ENSG00000071553	ENSG00000071553	
ENSG00000071794	6596	HLTF	ENSG00000071794	ENSG00000071794	
ENSG00000071909	140469	MYO3B	ENSG00000071909	ENSG00000071909	
ENSG00000071967	79901	CYBRD1	ENSG00000071967	ENSG00000071967	
ENSG00000072041	55117	SLC6A15	ENSG00000072041	ENSG00000072041	
ENSG00000072042	51109	RDH11	ENSG00000072042	ENSG00000072042	
ENSG00000072062	5566	PRKACA	ENSG00000072062	ENSG00000072062	
ENSG00000072133	27330	RPS6KA6	ENSG00000072133	ENSG00000072133	
ENSG00000072135	26469	PTPN18	ENSG00000072135	ENSG00000072135	
ENSG00000072195	10290	SPEG	ENSG00000072195	ENSG00000072195	
ENSG00000072210	224	ALDH3A2	ENSG00000072210	ENSG00000072210	
ENSG00000072310	6720	SREBF1	ENSG00000072310	ENSG00000072310	
ENSG00000072401	7321	UBE2D1	ENSG00000072401	ENSG00000072401	
ENSG00000072444	653365	ASAH2C	ENSG00000072444		Gene record withdrawn from NCBI and ENSEMBL. Gene should be deleted.
ENSG00000072506	3028	HSD17B10	ENSG00000072506	ENSG00000072506	
ENSG00000072518	2011	MARK2	ENSG00000072518	ENSG00000072518	
ENSG00000072609	55743	CHFR	ENSG00000072609	ENSG00000072609	
ENSG00000072657	29953	TRHDE	ENSG00000072657	ENSG00000072657	
ENSG00000072682	8974	P4HA2	ENSG00000072682	ENSG00000072682	
ENSG00000072756	51095	TRNT1	ENSG00000072756	ENSG00000072756	
ENSG00000072778	37	ACADVL	ENSG00000072778	ENSG00000072778	
ENSG00000072786	6793	STK10	ENSG00000072786	ENSG00000072786	
ENSG00000073060	949	SCARB1	ENSG00000073060	ENSG00000073060	
ENSG00000073111	4171	MCM2	ENSG00000073111	ENSG00000073111	
ENSG00000073146	54456	MOV10L1	ENSG00000073146	ENSG00000073146	
ENSG00000073417	5151	PDE8A	ENSG00000073417	ENSG00000073417	
ENSG00000073578	6389	SDHA	ENSG00000073578	ENSG00000073578	
ENSG00000073711	5523	PPP2R3A	ENSG00000073711	ENSG00000073711	
ENSG00000073734	8647	ABCB11	ENSG00000073734	ENSG00000073734	
ENSG00000073737	10170	DHRS9	ENSG00000073737	ENSG00000073737	
ENSG00000073756	5743	PTGS2	ENSG00000073756	ENSG00000073756	
ENSG00000073803	9175	MAP3K13	ENSG00000073803	ENSG00000073803	
ENSG00000073849	6480	ST6GAL1	ENSG00000073849	ENSG00000073849	
ENSG00000073969	4905	NSF	ENSG00000073969	ENSG00000073969	
ENSG00000074211	5522	PPP2R2C	ENSG00000074211	ENSG00000074211	
ENSG00000074370	489	ATP2A3	ENSG00000074370	ENSG00000074370	
ENSG00000074410	771	CA12	ENSG00000074410	ENSG00000074410	
ENSG00000074416	11343	MGLL	ENSG00000074416	ENSG00000074416	
ENSG00000074590	9891	NUAK1	ENSG00000074590	ENSG00000074590	
ENSG00000074621	9187	SLC24A1	ENSG00000074621	ENSG00000074621	
ENSG00000074696	51495	PTPLAD1	ENSG00000074696	ENSG00000074696	
ENSG00000074800	2023	ENO1	ENSG00000074800	ENSG00000074800	
ENSG00000074803	6557	SLC12A1	ENSG00000074803	ENSG00000074803	
ENSG00000074966	7294	TXK	ENSG00000074966	ENSG00000074966	
ENSG00000075188	79023	NUP37	ENSG00000075188	ENSG00000075188	
ENSG00000075239	38	ACAT1	ENSG00000075239	ENSG00000075239	
ENSG00000075413	4140	MARK3	ENSG00000075413	ENSG00000075413	
ENSG00000075415	5250	SLC25A3	ENSG00000075415	ENSG00000075415	
ENSG00000075651	5337	PLD1	ENSG00000075651	ENSG00000075651	
