Entry	Enzyme regulation
O00151	
O00154	
O00155	
O00159	
O00160	
O00161	
O00165	
O00167	
O00168	
O00170	
O00175	
O00178	
O00180	ENZYME REGULATION: Inhibited by Ba(2+) ions and quinidine (PubMed:8605869). Inhibited by quinine (PubMed:8605869, PubMed:21653227). Is slightly inhibited by 10 mM tetraethylammonium (TEA), and only marginally inhibited by 4-aminopyridine, charybdotoxin and dendrotoxin (PubMed:8605869). Lowering the extracellular pH to below 6.5 transiently activates the channel, and then inhibits channel activity (PubMed:15820677, PubMed:22431633). Inhibited when the intracellular pH is decreased down to pH 6.0, but this may be due to indirect effects (PubMed:8605869). {ECO:0000269|PubMed:15820677, ECO:0000269|PubMed:21653227, ECO:0000269|PubMed:22431633, ECO:0000269|PubMed:8605869}.
O00182	
O00186	
O00187	
O00189	
O00192	
O00193	
O00194	
O00198	
O00203	
O00204	
O00206	
O00212	
O00213	
O00214	
O00217	
O00219	
O00220	
O00221	
O00222	
O00230	
O00231	
O00232	
O00233	
O00237	
O00238	
O00241	
O00244	
O00253	
O00254	
O00255	
O00257	
O00258	
O00264	
O00267	
O00268	
O00270	
O00273	
O00287	
O00291	
O00292	
O00294	
O00295	
O00299	
O00300	
O00303	
O00305	
O00308	ENZYME REGULATION: Activated by NDFIP1- and NDFIP2-binding. {ECO:0000269|PubMed:19343052}.
O00311	
O00321	
O00322	
O00327	ENZYME REGULATION: There is conflicting data about the effect of NAD cofactors on activity. PubMed:11441146 suggests that the redox state of the cell can modulate the transcriptional activity of the CLOCK-ARNTL/BMAL1 heterodimer; NADH and NADPH enhance the DNA-binding activity of the heterodimer. PubMed:23229515 reports that NADH and NADPH have no significant effect on DNA-binding activity of the CLOCK-ARNTL/BMAL1 heterodimer. {ECO:0000269|PubMed:11441146, ECO:0000269|PubMed:23229515}.
O00329	ENZYME REGULATION: Activated by growth factors and cytokine receptors through a tyrosine-kinase-dependent mechanism. Activated by RAS. IC87114 inhibits lipid kinase activity and is selective in cells at doses up to 5-10 uM. IC87114 blocks T-cell receptor signaling in naive and memory T-cells and reduces cytokine production by memory T-cells. {ECO:0000269|PubMed:20081091}.
O00330	
O00337	
O00338	
O00339	
O00341	
O00358	
O00370	
O00391	
O00398	
O00399	
O00400	
O00401	
O00408	
O00409	
O00410	
O00411	
O00418	ENZYME REGULATION: Undergoes calcium/calmodulin-dependent intramolecular autophosphorylation, and this results in it becoming partially calcium/calmodulin-independent. {ECO:0000250}.
O00421	
O00422	
O00423	
O00425	
O00429	ENZYME REGULATION: GTPase activity is increased by binding to phospholipid membranes. {ECO:0000269|PubMed:23977156}.
O00442	
O00443	ENZYME REGULATION: Activated by insulin (By similarity). Only slightly inhibited by wortmannin and LY294002. Activated by clathrin. {ECO:0000250, ECO:0000269|PubMed:10766823, ECO:0000269|PubMed:11239472, ECO:0000269|PubMed:9337861}.
O00444	
O00445	
O00451	
O00453	
O00458	
O00459	
O00461	
O00462	
O00463	
O00468	
O00469	
O00470	
O00471	
O00472	
O00476	
O00478	
O00479	
O00481	
O00482	
O00483	
O00487	
O00488	
O00499	
O00501	
O00505	
O00506	ENZYME REGULATION: Interaction with Golgi matrix protein GOLGA2 leads to autophosphorylation on Thr-174, possibly as a consequence of stabilization of dimer formation. The C-terminal non-catalytic region inhibits the kinase activity. {ECO:0000269|PubMed:15037601}.
O00507	
O00512	
O00515	
O00519	ENZYME REGULATION: Inhibited by O-aryl carbamates and alpha-keto heterocytes. {ECO:0000269|PubMed:17015445}.
O00522	
O00526	
O00533	
O00534	
O00541	
O00548	
O00555	
O00559	
O00560	
O00562	
O00566	
O00567	
O00570	
O00571	
O00574	
O00584	ENZYME REGULATION: Inhibited by Zn(2+) and Cu(2+). {ECO:0000269|PubMed:22735700}.
O00585	
O00587	
O00590	
O00591	
O00592	
O00602	
O00622	
O00623	
O00624	
O00625	ENZYME REGULATION: Inhibited by kojic acid, sodium diethyldithiocarbamate and 1,10-phenanthroline monohydrochloride. {ECO:0000269|PubMed:15951572}.
O00626	
O00628	
O00629	
O00631	
O00634	
O00635	
O00712	
O00716	
O00743	
O00744	
O00746	
O00748	
O00750	ENZYME REGULATION: Activated by GRB2. {ECO:0000269|PubMed:11533253}.
O00754	
O00755	
O00757	ENZYME REGULATION: Subject to complex allosteric regulation. The enzyme can assume an active R-state, or an inactive T-state. Intermediate conformations may exist. AMP acts as allosteric inhibitor. Fructose 2,6-bisphosphate acts as competitive inhibitor. Strongly inhibited by Ca(2+). {ECO:0000269|PubMed:16213487, ECO:0000269|PubMed:17350621, ECO:0000269|PubMed:18214967}.
O00762	
O00763	ENZYME REGULATION: Activity is increased by oligomerization. Activated by citrate. Citrate and MID1IP1 promote oligomerization. Inhibited by malonyl-CoA. {ECO:0000269|PubMed:16854592, ECO:0000269|PubMed:20952656}.
O00764	
O00767	
O14490	
O14492	
O14493	
O14494	ENZYME REGULATION: Inhibited by sphingosine, zinc ions and propanolol. Not inhibited by N-ethylmaleimide treatment.
O14495	ENZYME REGULATION: Inhibited by sphingosine, zinc ions and propanolol. Not inhibited by N-ethylmaleimide treatment.
O14497	
O14498	
O14503	
O14508	
O14511	
O14512	
O14513	
O14514	
O14519	
O14520	
O14521	
O14522	
O14523	
O14524	
O14525	
O14526	
O14529	
O14530	
O14531	
O14543	
O14544	
O14545	
O14548	
O14556	
O14558	
O14559	
O14561	
O14562	
O14569	
O14576	
O14578	
O14579	
O14581	
O14593	
O14594	
O14595	
O14598	
O14599	
O14602	
O14603	
O14604	
O14607	
O14609	
O14610	
O14613	
O14617	
O14618	
O14625	
O14626	
O14627	
O14628	
O14633	
O14638	ENZYME REGULATION: At low concentrations of ATP, a phosphorylated active site intermediate is formed which inhibits further ATP hydrolysis.
O14639	
O14640	
O14641	
O14645	
O14646	
O14647	
O14649	
O14653	
O14654	
O14656	
O14657	
O14662	
O14668	
O14669	
O14672	
O14678	
O14681	
O14682	
O14683	
O14684	
O14686	
O14709	
O14713	
O14715	
O14717	
O14718	
O14727	
O14730	
O14732	ENZYME REGULATION: Inhibited by high Li(+) and restricted Mg(2+) concentrations. {ECO:0000269|PubMed:15504365, ECO:0000269|PubMed:17068342}.
O14733	ENZYME REGULATION: Activated by phosphorylation by specific MAP kinase kinase kinases such as MAP3K1/MEKK1, MAP3K3/MEKK3, MAP3K11/MLK3 and MAP3K12/DLK. {ECO:0000269|PubMed:16442502, ECO:0000269|PubMed:9312068}.
O14734	ENZYME REGULATION: Inhibited by CoASH (IC(50)=10-15 uM). Also inhibited by cysteine-reactive agents. {ECO:0000250|UniProtKB:P58137}.
O14735	ENZYME REGULATION: Inhibited by PtdIns (product inhibition), phosphatidylinositol phosphate, and nucleoside di- and tri-phosphates.
O14737	
O14744	ENZYME REGULATION: Activity is increased by EGF, HGF, FGF1 or FGF2 treatments, and slightly decreased by NGF treatment. {ECO:0000269|PubMed:21917714}.
O14745	
O14746	
O14753	
O14756	
O14757	ENZYME REGULATION: Activated through phosphorylation predominantly by ATR but also by ATM in response to DNA damage or inhibition of DNA replication. Activation is modulated by several mediators including CLSPN, BRCA1 and FEM1B.
O14763	
O14764	
O14770	
O14771	
O14772	
O14773	
O14775	
O14776	
O14777	
O14782	
O14786	
O14787	
O14788	
O14791	
O14792	
O14793	
O14795	
O14796	
O14798	
O14802	
O14804	
O14807	
O14810	
O14813	
O14815	
O14817	
O14818	
O14827	
O14828	
O14829	ENZYME REGULATION: Activated by calcium.
O14830	ENZYME REGULATION: Activated by calcium. {ECO:0000250}.
O14832	
O14836	
O14841	
O14842	ENZYME REGULATION: The receptor is strongly activated by gamma-linolenic acid, while myristate gives a lower response. It is also activated by phytanic acid and pristanic acid (PubMed:21570468). Is also activated by synthetic agonists, such as TAK-875 (fasiglifam); this compound is a partial agonist and potentiates the activity of the endogenous ligand gamma-linolenic acid (PubMed:24130766). {ECO:0000269|PubMed:21570468, ECO:0000269|PubMed:24130766}.
O14843	
O14862	ENZYME REGULATION: In absence of dsDNA pyrin and HIN-20 domain can interact inducing a closed conformation; an autoinhibitory mechanism is proposed in which binding to dsDNA liberates the pyrin domain for homotypic downstream signaling interactions with PYCARD. {ECO:0000269|PubMed:22483801}.
O14863	
O14867	
O14874	
O14879	
O14880	
O14893	
O14894	
O14896	
O14901	
O14904	
O14905	
O14907	
O14908	
O14910	
O14917	
O14920	
O14921	
O14924	
O14925	
O14926	
O14929	
O14931	
O14933	
O14936	ENZYME REGULATION: Differs from archetypal CaMK members in that the kinase domain exhibits a constitutively active conformation and the autoinhibitory region does not engage in direct contact with the ATP-binding cleft, although it still binds Ca(2+)/CAM. {ECO:0000269|PubMed:18423203}.
O14939	ENZYME REGULATION: Stimulated by phosphatidylinositol 4,5-bisphosphate and activated by the ADP-ribosylation factor-1 (ARF-1).
O14944	
O14948	
O14949	
O14950	
O14957	
O14958	
O14960	
O14964	
