genes	geneENSTID	geneENSPID	geneUniProtID	geneSymbols	geneEntrezID	geneNames	geneAliases	compartments	compDataSource
"ENSG00000003989"	"ENST00000494857;ENST00000522656;ENST00000470360;ENST00000640220;ENST00000004531;ENST00000398090"	"ENSP00000419140;ENSP00000430464;ENSP00000419873;ENSP00000492016;ENSP00000004531;ENSP00000381164"	"P52569"	"SLC7A2"	"6542"	"solute carrier family 7 member 2"	"ATRC2;CAT-2;HCAT2"	"Cell membrane;Lysosome"	"DeepLoc2"
"ENSG00000004455"	"ENST00000629371;ENST00000373449;ENST00000672715;ENST00000354858;ENST00000672308;ENST00000548033;ENST00000482191;ENST00000491241;ENST00000467905;ENST00000480134;ENST00000550338;ENST00000469238;ENST00000466029;ENST00000673291;ENST00000487289;ENST00000548559;ENST00000551979;ENST00000626911"	"ENSP00000486507;ENSP00000362548;ENSP00000499935;ENSP00000346921;ENSP00000449003;ENSP00000447082;ENSP00000450109;ENSP00000450008;ENSP00000500549;ENSP00000446849;ENSP00000486342"	"P54819"	"AK2"	"204"	"adenylate kinase 2"	""	"Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000004468"	"ENST00000502843;ENST00000506191;ENST00000511430;ENST00000226279;ENST00000510674"	"ENSP00000427277;ENSP00000226279;ENSP00000423047"	"P28907"	"CD38"	"952"	"CD38 molecule"	""	"Cell membrane;Lysosome"	"DeepLoc2"
"ENSG00000004478"	"ENST00000001008;ENST00000543769;ENST00000540260;ENST00000538622;ENST00000543037;ENST00000539181;ENST00000544366;ENST00000630279"	"ENSP00000001008;ENSP00000439703;ENSP00000446368;ENSP00000438491;ENSP00000442193;ENSP00000486800"	"Q02790"	"FKBP4"	"2288"	"FKBP prolyl isomerase 4"	"FKBP52;FKBP59"	"Mitochondria;Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000004779"	"ENST00000562133;ENST00000007516;ENST00000484769;ENST00000570319;ENST00000567761"	"ENSP00000454891;ENSP00000007516;ENSP00000454812;ENSP00000458770;ENSP00000461693"	"O14561"	"NDUFAB1"	"4706"	"NADH:ubiquinone oxidoreductase subunit AB1"	"ACP;ACP1;FASN2A;SDAP"	"Mitochondria;Nucleus"	"SwissProt;CellAtlas"
"ENSG00000004799"	"ENST00000005178;ENST00000473796;ENST00000468445;ENST00000498190;ENST00000473301"	"ENSP00000005178"	"Q16654"	"PDK4"	"5166"	"pyruvate dehydrogenase kinase 4"	""	"Mitochondria"	"SwissProt"
"ENSG00000004809"	"ENST00000460159;ENST00000451557;ENST00000368919;ENST00000330550;ENST00000434949;ENST00000437378;ENST00000424139;ENST00000461487"	"ENSP00000395642;ENSP00000357915;ENSP00000328583;ENSP00000409306;ENSP00000416310;ENSP00000401007"	"Q86VW1"	"SLC22A16"	"85413"	"solute carrier family 22 member 16"	"CT2;FLIPT2;OAT6;OKB1"	"Cytosol"	"CellAtlas"
"ENSG00000004864"	"ENST00000265631;ENST00000494085;ENST00000490072;ENST00000484495;ENST00000492869;ENST00000472162;ENST00000487710;ENST00000416240"	"ENSP00000265631;ENSP00000473505;ENSP00000400101"	"Q9UJS0"	"SLC25A13"	"10165"	"solute carrier family 25 member 13"	"ARALAR2;CITRIN;CTLN2"	"Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000004939"	"ENST00000399246;ENST00000262418;ENST00000471005;ENST00000498270"	"ENSP00000382190;ENSP00000262418"	"P02730"	"SLC4A1"	"6521"	"solute carrier family 4 member 1 (Diego blood group)"	"AE1;CD233;DI;EPB3;FR;RTA1A;SW;WD;WR"	"Cell membrane"	"DeepLoc2"
"ENSG00000004961"	"ENST00000321143;ENST00000380763;ENST00000380762"	"ENSP00000326579;ENSP00000370140;ENSP00000370139"	"P53701"	"HCCS"	"3052"	"holocytochrome c synthase"	"CCHL;MLS"	"Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000005022"	"ENST00000317881;ENST00000475354;ENST00000460013;ENST00000463551"	"ENSP00000360671"	"P05141"	"SLC25A5"	"292"	"solute carrier family 25 member 5"	"2F1;ANT2;T2;T3"	"Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000005075"	"ENST00000292614;ENST00000393794"	"ENSP00000292614;ENSP00000377383"	"P52435"	"POLR2J"	"5439"	"RNA polymerase II subunit J"	"hRPB14;POLR2J1;RPB11;RPB11A;RPB11m"	"Nucleus"	"SwissProt;CellAtlas"
"ENSG00000005187"	"ENST00000568235;ENST00000501740;ENST00000614721;ENST00000561584;ENST00000564701;ENST00000289416;ENST00000440284;ENST00000561795;ENST00000562251;ENST00000563914;ENST00000567387;ENST00000561499;ENST00000569141;ENST00000567711;ENST00000567006"	"ENSP00000457003;ENSP00000456055;ENSP00000457158;ENSP00000289416;ENSP00000394565;ENSP00000458068;ENSP00000456767;ENSP00000457926;ENSP00000457608"	"Q53FZ2"	"ACSM3"	"6296"	"acyl-CoA synthetase medium chain family member 3"	"SA;SAH"	"Mitochondria"	"SwissProt"
"ENSG00000005339"	"ENST00000262367;ENST00000382070;ENST00000637492;ENST00000571763;ENST00000576720;ENST00000570939;ENST00000574740;ENST00000573517;ENST00000572569;ENST00000635919;ENST00000638158;ENST00000573672;ENST00000571826;ENST00000572134;ENST00000575237;ENST00000634839;ENST00000636002;ENST00000635753;ENST00000635899;ENST00000636895"	"ENSP00000262367;ENSP00000371502;ENSP00000490244;ENSP00000461002;ENSP00000460474;ENSP00000459490;ENSP00000458254"	"Q92793"	"CREBBP"	"1387"	"CREB binding protein"	"CBP;KAT3A;RSTS;RTS"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000005381"	"ENST00000225275;ENST00000577220;ENST00000578493;ENST00000581022;ENST00000580005"	"ENSP00000225275;ENSP00000464668"	"P05164"	"MPO"	"4353"	"myeloperoxidase"	""	"Nucleus;Lysosome"	"SwissProt;CellAtlas"
"ENSG00000005421"	"ENST00000222381;ENST00000462594;ENST00000433729;ENST00000470502"	"ENSP00000222381;ENSP00000407359"	"P27169"	"PON1"	"5444"	"paraoxonase 1"	"ESA;PON"	"Endoplasmic reticulum"	"DeepLoc2"
"ENSG00000005469"	"ENST00000331536;ENST00000419147;ENST00000412227;ENST00000442291;ENST00000488850;ENST00000469785;ENST00000479014"	"ENSP00000331981;ENSP00000413575;ENSP00000404867;ENSP00000411983"	"Q9UKG9"	"CROT"	"54677"	"carnitine O-octanoyltransferase"	"COT"	"Peroxisome"	"SwissProt"
"ENSG00000005471"	"ENST00000649586;ENST00000440025;ENST00000265723;ENST00000359206;ENST00000453593;ENST00000467983;ENST00000467079;ENST00000469770;ENST00000643670;ENST00000644106;ENST00000473795;ENST00000417608"	"ENSP00000496956;ENSP00000395716;ENSP00000265723;ENSP00000352135;ENSP00000392983;ENSP00000496629;ENSP00000493477;ENSP00000394511"	"P21439"	"ABCB4"	"5244"	"ATP binding cassette subfamily B member 4"	"GBD1;MDR2;MDR3;PFIC-3;PGY3"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000005810"	"ENST00000684354;ENST00000682321;ENST00000683823;ENST00000683697;ENST00000357337;ENST00000544440;ENST00000429715;ENST00000485061;ENST00000466564;ENST00000486679;ENST00000474882;ENST00000491491"	"ENSP00000507330;ENSP00000508023;ENSP00000507196;ENSP00000508153;ENSP00000349892;ENSP00000444596;ENSP00000413907"	"O75592"	"MYCBP2"	"23077"	"MYC binding protein 2"	"FLJ10106;KIAA0916;PAM;PHR1"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000005882"	"ENST00000007708;ENST00000508030;ENST00000503614;ENST00000503176;ENST00000508960;ENST00000505897;ENST00000505440;ENST00000614357;ENST00000511026;ENST00000512238;ENST00000515040;ENST00000510219;ENST00000506242;ENST00000503076;ENST00000512204;ENST00000506647"	"ENSP00000007708;ENSP00000427682;ENSP00000425265;ENSP00000420927;ENSP00000425615;ENSP00000481915;ENSP00000421178;ENSP00000423310"	"Q15119"	"PDK2"	"5164"	"pyruvate dehydrogenase kinase 2"	"PDHK2"	"Mitochondria;Nucleus"	"SwissProt;CellAtlas"
"ENSG00000006007"	"ENST00000353258;ENST00000564172;ENST00000563645;ENST00000569899;ENST00000569773"	"ENSP00000261386;ENSP00000457431;ENSP00000456295;ENSP00000454755"	"Q9NZC3"	"GDE1"	"51573"	"glycerophosphodiester phosphodiesterase 1"	"MIR16"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000006071"	"ENST00000644772;ENST00000643562;ENST00000531642;ENST00000528374;ENST00000302539;ENST00000389817;ENST00000683693;ENST00000646592;ENST00000646993;ENST00000526037;ENST00000532220;ENST00000529967;ENST00000682185;ENST00000682673;ENST00000682051;ENST00000684371;ENST00000684571;ENST00000684555;ENST00000682215;ENST00000642611;ENST00000644484;ENST00000682805;ENST00000684404;ENST00000683365;ENST00000683153;ENST00000684157;ENST00000682140;ENST00000524561;ENST00000682110;ENST00000684010;ENST00000684442;ENST00000682204;ENST00000682528;ENST00000684711;ENST00000682965;ENST00000682288;ENST00000684332;ENST00000684593;ENST00000684288;ENST00000683456;ENST00000684313;ENST00000683136;ENST00000682442;ENST00000684253;ENST00000642579;ENST00000646902;ENST00000642271;ENST00000647086;ENST00000643260;ENST00000683725;ENST00000646003;ENST00000647015;ENST00000683562;ENST00000644757;ENST00000644675;ENST00000642902;ENST00000645760;ENST00000646207;ENST00000683522;ENST00000683377;ENST00000683093;ENST00000643925;ENST00000645884;ENST00000645076;ENST00000684014;ENST00000644057;ENST00000645004;ENST00000526168;ENST00000525022;ENST00000647158;ENST00000645417;ENST00000646276;ENST00000645744;ENST00000647013;ENST00000527905;ENST00000531891;ENST00000531137;ENST00000644447;ENST00000644542;ENST00000526921;ENST00000644472;ENST00000530147;ENST00000531911;ENST00000683253;ENST00000532728;ENST00000644649;ENST00000683531;ENST00000528202;ENST00000635881;ENST00000526002;ENST00000682199;ENST00000682863;ENST00000682053;ENST00000682091;ENST00000646737;ENST00000683808;ENST00000684221;ENST00000684614;ENST00000612903;ENST00000683066"	"ENSP00000494321;ENSP00000496124;ENSP00000435378;ENSP00000433638;ENSP00000303960;ENSP00000374467;ENSP00000494407;ENSP00000493720;ENSP00000506935;ENSP00000507705;ENSP00000493558;ENSP00000507829;ENSP00000507094;ENSP00000506841;ENSP00000508229;ENSP00000507506;ENSP00000507005;ENSP00000507143;ENSP00000508318;ENSP00000507768;ENSP00000496714;ENSP00000494101;ENSP00000493749;ENSP00000493677;ENSP00000494450;ENSP00000507496;ENSP00000495259;ENSP00000495389;ENSP00000508265;ENSP00000495085;ENSP00000494567;ENSP00000493601;ENSP00000496309;ENSP00000495025;ENSP00000495697;ENSP00000495516;ENSP00000494791;ENSP00000437233;ENSP00000495744;ENSP00000495891;ENSP00000496070;ENSP00000494564;ENSP00000496741;ENSP00000431653;ENSP00000434893;ENSP00000496282;ENSP00000495532;ENSP00000495378;ENSP00000495427;ENSP00000494519;ENSP00000494874"	"Q09428"	"ABCC8"	"6833"	"ATP binding cassette subfamily C member 8"	"ABC36;HHF1;HI;HRINS;MRP8;PHHI;SUR;SUR1;TNDM2"	"Cytosol;Golgi apparatus;Nucleus"	"CellAtlas"
"ENSG00000006530"	"ENST00000473247;ENST00000649365;ENST00000649014;ENST00000648489;ENST00000650365;ENST00000495028;ENST00000648690;ENST00000649286;ENST00000649790;ENST00000473884;ENST00000647568;ENST00000649914;ENST00000648395;ENST00000648068;ENST00000650547;ENST00000649538;ENST00000650006;ENST00000492693;ENST00000494688;ENST00000465241;ENST00000496784;ENST00000647898;ENST00000496273;ENST00000494053;ENST00000629555"	"ENSP00000420776;ENSP00000496835;ENSP00000497984;ENSP00000497358;ENSP00000497945;ENSP00000497280;ENSP00000498193;ENSP00000420540;ENSP00000497039;ENSP00000497848;ENSP00000497666;ENSP00000498112;ENSP00000496789;ENSP00000497457;ENSP00000418789;ENSP00000418101;ENSP00000487274"	"Q53H12"	"AGK"	"55750"	"acylglycerol kinase"	"FLJ10842;MULK"	"Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000006534"	"ENST00000614849;ENST00000615368;ENST00000619675;ENST00000342456;ENST00000617288;ENST00000617449;ENST00000612297;ENST00000616697;ENST00000527514;ENST00000615463"	"ENSP00000478486;ENSP00000478632;ENSP00000473990;ENSP00000481604;ENSP00000483988;ENSP00000484901;ENSP00000477789;ENSP00000478380;ENSP00000479948"	"P43353"	"ALDH3B1"	"221"	"aldehyde dehydrogenase 3 family member B1"	"ALDH7"	"Cytosol"	"SwissProt"
"ENSG00000006625"	"ENST00000275428;ENST00000440082;ENST00000005374;ENST00000409144;ENST00000426081;ENST00000447901;ENST00000409390;ENST00000409436"	"ENSP00000275428;ENSP00000408015;ENSP00000005374;ENSP00000386610;ENSP00000390094;ENSP00000387809;ENSP00000387235;ENSP00000386686"	"O75223"	"GGCT"	"79017"	"gamma-glutamylcyclotransferase"	"C7orf24;CRF21;GCTG;Ggc;MGC3077"	"Cytosol"	"DeepLoc2"
"ENSG00000006695"	"ENST00000670279;ENST00000664217;ENST00000429152;ENST00000261643;ENST00000581931;ENST00000580561;ENST00000458492"	"ENSP00000499450;ENSP00000499396;ENSP00000397750;ENSP00000261643;ENSP00000462512;ENSP00000462190"	"Q12887"	"COX10"	"1352"	"cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10"	""	"Mitochondria;Cytosol;Nucleus"	"CellAtlas"
"ENSG00000006756"	"ENST00000381154;ENST00000458014;ENST00000495294;ENST00000217890;ENST00000481340;ENST00000494870;ENST00000559324"	"ENSP00000370546;ENSP00000409180;ENSP00000453789"	"P51689"	"ARSD"	"414"	"arylsulfatase D"	""	"Endoplasmic reticulum"	"DeepLoc2"
"ENSG00000006757"	"ENST00000381042;ENST00000442940;ENST00000537427;ENST00000444736"	"ENSP00000370430;ENSP00000406698;ENSP00000443157;ENSP00000415245"	"P41247"	"PNPLA4"	"8228"	"patatin like phospholipase domain containing 4"	"DXS1283E;GS2;iPLA2eta"	"Mitochondria"	"SwissProt"
"ENSG00000007001"	"ENST00000605860;ENST00000460456;ENST00000005756;ENST00000489438"	"ENSP00000474090;ENSP00000005756"	"O95045"	"UPP2"	"151531"	"uridine phosphorylase 2"	"UDRPASE2;UP2;UPASE2"	"Mitochondria;Nucleus"	"CellAtlas"
"ENSG00000007168"	"ENST00000576586;ENST00000676201;ENST00000397195;ENST00000575477;ENST00000675621;ENST00000674717;ENST00000676353;ENST00000675202;ENST00000675764;ENST00000676077;ENST00000674608;ENST00000572915;ENST00000676098;ENST00000570400;ENST00000571289;ENST00000675430;ENST00000675331;ENST00000676188;ENST00000574816;ENST00000675390;ENST00000676456;ENST00000609078;ENST00000397193;ENST00000574468;ENST00000571495;ENST00000675574;ENST00000675385;ENST00000675084;ENST00000610190;ENST00000574213"	"ENSP00000461087;ENSP00000380378;ENSP00000502117;ENSP00000501931;ENSP00000502737;ENSP00000502843;ENSP00000502242;ENSP00000502507;ENSP00000501976;ENSP00000502735;ENSP00000460258;ENSP00000502031;ENSP00000502577;ENSP00000501969;ENSP00000460591"	"P43034"	"PAFAH1B1"	"5048"	"platelet activating factor acetylhydrolase 1b regulatory subunit 1"	"LIS1;MDCR;MDS;NudF;PAFAH"	"Cytosol;Nucleus"	"SwissProt"
"ENSG00000007171"	"ENST00000313735;ENST00000646938;ENST00000621962"	"ENSP00000327251;ENSP00000494870;ENSP00000482291"	"P35228"	"NOS2"	"4843"	"nitric oxide synthase 2"	"HEP-NOS;iNOS;NOS;NOS2A"	"Cytosol"	"SwissProt"
"ENSG00000007216"	"ENST00000444914;ENST00000314669;ENST00000545060;ENST00000577903;ENST00000541739;ENST00000579281;ENST00000459818"	"ENSP00000392411;ENSP00000316202;ENSP00000441935;ENSP00000463457;ENSP00000463421;ENSP00000464074"	"Q13183"	"SLC13A2"	"9058"	"solute carrier family 13 member 2"	"NaDC-1"	"Cell membrane"	"DeepLoc2"
"ENSG00000007350"	"ENST00000369915;ENST00000439635;ENST00000426989;ENST00000426203;ENST00000369912;ENST00000465168;ENST00000482044;ENST00000463884"	"ENSP00000358931;ENSP00000399763;ENSP00000401111;ENSP00000416552;ENSP00000358928"	"P51854"	"TKTL1"	"8277"	"transketolase like 1"	"TKR;TKT2"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000007541"	"ENST00000293874;ENST00000409527;ENST00000321878;ENST00000439574;ENST00000422307;ENST00000636657;ENST00000026218;ENST00000470411;ENST00000637701;ENST00000443147;ENST00000635909;ENST00000636005;ENST00000637468;ENST00000638143;ENST00000544860;ENST00000537901;ENST00000635935;ENST00000420990;ENST00000635205;ENST00000480424;ENST00000540241;ENST00000476438;ENST00000540548;ENST00000634341;ENST00000638152"	"ENSP00000293874;ENSP00000386760;ENSP00000326674;ENSP00000387820;ENSP00000413753;ENSP00000490087;ENSP00000026218;ENSP00000439650;ENSP00000410434;ENSP00000490267;ENSP00000490498;ENSP00000490672;ENSP00000490695;ENSP00000409341;ENSP00000489216;ENSP00000439374"	"Q9BRB3"	"PIGQ"	"9091"	"phosphatidylinositol glycan anchor biosynthesis class Q"	"GPI1;hGPI1"	"Golgi apparatus;Nucleus"	"CellAtlas"
"ENSG00000007933"	"ENST00000367755;ENST00000530212;ENST00000534514;ENST00000472784;ENST00000479749;ENST00000478457"	"ENSP00000356729;ENSP00000476963;ENSP00000477451"	"P31513"	"FMO3"	"2328"	"flavin containing dimethylaniline monoxygenase 3"	"FMOII"	"Endoplasmic reticulum"	"SwissProt"
"ENSG00000007944"	"ENST00000356840;ENST00000349606"	"ENSP00000349298;ENSP00000008686"	"Q8WY64"	"MYLIP"	"29116"	"myosin regulatory light chain interacting protein"	"IDOL;MIR"	"Cytosol"	"SwissProt"
"ENSG00000008130"	"ENST00000341426;ENST00000341991;ENST00000378625;ENST00000342348;ENST00000498806;ENST00000469045;ENST00000480499;ENST00000497747;ENST00000477235;ENST00000489538;ENST00000497615;ENST00000497186;ENST00000492845;ENST00000492768;ENST00000460602;ENST00000464373;ENST00000480542"	"ENSP00000341679;ENSP00000344340;ENSP00000367890;ENSP00000339727;ENSP00000464137;ENSP00000462589;ENSP00000462999;ENSP00000464096"	"O95544"	"NADK"	"65220"	"NAD kinase"	"FLJ13052"	"Nucleus"	"CellAtlas"
"ENSG00000008311"	"ENST00000679864;ENST00000417368;ENST00000681708;ENST00000679511;ENST00000679579;ENST00000679847;ENST00000679659;ENST00000681213;ENST00000679764;ENST00000679419;ENST00000681907;ENST00000681387;ENST00000681318;ENST00000681434;ENST00000679721;ENST00000679818;ENST00000680080;ENST00000681626;ENST00000681314;ENST00000460376;ENST00000393376;ENST00000473553;ENST00000681511;ENST00000358954;ENST00000431170;ENST00000426162;ENST00000679402"	"ENSP00000505958;ENSP00000403768;ENSP00000505381;ENSP00000505506;ENSP00000505881;ENSP00000506341;ENSP00000505849;ENSP00000505102;ENSP00000505825;ENSP00000506437;ENSP00000506684;ENSP00000505352;ENSP00000505671;ENSP00000504919;ENSP00000506554;ENSP00000505942;ENSP00000504967;ENSP00000377040;ENSP00000506240;ENSP00000505945;ENSP00000351834;ENSP00000414001"	"Q9UDR5"	"AASS"	"10157"	"aminoadipate-semialdehyde synthase"	"LKRSDH;LORSDH"	"Mitochondria;Nucleus"	"SwissProt;CellAtlas"
"ENSG00000008394"	"ENST00000536371;ENST00000534835;ENST00000543076;ENST00000396210;ENST00000539036;ENST00000537878;ENST00000542256;ENST00000539708;ENST00000535309;ENST00000540056;ENST00000540126;ENST00000538885;ENST00000396207;ENST00000538857;ENST00000535624;ENST00000624056;ENST00000359720;ENST00000010404;ENST00000396209"	"ENSP00000442557;ENSP00000442767;ENSP00000379513;ENSP00000438308;ENSP00000437988;ENSP00000442970;ENSP00000440443;ENSP00000379510;ENSP00000010404;ENSP00000379512"	"P10620"	"MGST1"	"4257"	"microsomal glutathione S-transferase 1"	"GST12;MGST-I"	"Endoplasmic reticulum;Mitochondria"	"SwissProt;CellAtlas"
"ENSG00000008438"	"ENST00000008938"	"ENSP00000008938"	"O75594"	"PGLYRP1"	"8993"	"peptidoglycan recognition protein 1"	"PGLYRP;PGRP;PGRP-S;PGRPS;TAG7;TNFSF3L"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000008513"	"ENST00000521180;ENST00000648219;ENST00000522652;ENST00000523854;ENST00000517668;ENST00000522204;ENST00000523634;ENST00000519924;ENST00000523855;ENST00000519435;ENST00000518298;ENST00000520020;ENST00000522873;ENST00000521627;ENST00000522285;ENST00000399640"	"ENSP00000428540;ENSP00000497381;ENSP00000430515;ENSP00000429638;ENSP00000427720;ENSP00000429936;ENSP00000430135;ENSP00000427786;ENSP00000414073"	"Q11201"	"ST3GAL1"	"6482"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"	"SIAT4A;SIATFL;ST3GalA.1;ST3O"	"Golgi apparatus"	"SwissProt"
"ENSG00000009335"	"ENST00000348165;ENST00000389103;ENST00000430750;ENST00000469336;ENST00000470408;ENST00000497368;ENST00000494532;ENST00000474153;ENST00000611269"	"ENSP00000309198;ENSP00000373755;ENSP00000397432;ENSP00000481584"	"Q15386"	"UBE3C"	"9690"	"ubiquitin protein ligase E3C"	"KIAA0010;KIAA10"	"Mitochondria;Nucleus"	"CellAtlas"
"ENSG00000009413"	"ENST00000462119;ENST00000434009;ENST00000422377;ENST00000368802;ENST00000413831;ENST00000492520;ENST00000467500;ENST00000470871;ENST00000460981;ENST00000494858;ENST00000435970;ENST00000358835;ENST00000619481"	"ENSP00000391605;ENSP00000393184;ENSP00000357792;ENSP00000400600;ENSP00000402003;ENSP00000351697;ENSP00000482892"	"O60673"	"REV3L"	"5980"	"REV3 like, DNA directed polymerase zeta catalytic subunit"	"POLZ;REV3"	"Nucleus"	"SwissProt;CellAtlas"
